Project,Market Sector,EQS,UGS,FVS,SS,how3 Score,Growth Category,Valuation Category,SS (Rating),UGS dune,EQS dune,Static,Live,Dune Links,Symbol,UserGrowthJSON
Aftermath Finance,Exchanges (DEX),0.0,,,,,,,,False,False,True,False,,,
AgentFun,,,,,46.56,,,,CC,False,False,True,False,,,
Agora,Stablecoin issuers,0.0,,,,,,,,False,False,True,False,,,
Ai16z,,,,,59.62,,,,B,False,False,True,False,,,
AirSwap,Exchanges (DEX),26.124929979396992,59.36675219941349,32.25378787878788,,,Steady Growth,Overvalued,,False,False,True,False,,,
Ajuna Network,Blockchains (L2),0.0,25.384615384615387,,,,Slow Growth,,,False,False,True,False,,,
Akash Network,Infrastructure,0.0,65.37234042553192,,82.55,,Strong Growth,,A,False,False,True,False,,,
Alaya AI,Infrastructure,0.0,,,,,,,,False,False,True,False,,,
Alchemix Finance,Asset management,0.0,77.2238514173998,52.0,,,Strong Growth,Fairly Valued,,False,False,True,False,,,
Alchemy Pay,,,,,84.45,,,,A,False,False,True,False,,,
Aleph Zero EVM,Blockchains (L2),23.0080774522824,59.28015077115355,14.933333333333332,,,Steady Growth,Overvalued,,False,False,True,False,,,
Algorand,Blockchains (L1),38.517054285532666,57.27272727272727,52.52403846153846,87.49,,Steady Growth,Fairly Valued,AA,False,False,True,False,,algo,"{""name"": ""Algorand"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 57.27272727272727, ""growth_category"": ""Steady Growth""}, ""peers"": [{""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}, {""name"": ""Bitcoin"", ""scores"": {""user_growth"": 73.61458333333334}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}"
Alien Base,Exchanges (DEX),0.0,53.53281423804228,55.0,,,Steady Growth,Fairly Valued,,False,False,True,False,,,
AlienX,Blockchains (L2),0.0,,,,,,,,False,False,True,False,,,
Alkimi Exchange,Infrastructure,0.0,37.23566424494032,45.0,,,Slow Growth,Fairly Valued,,False,False,True,False,,,
Alkimiya,Infrastructure,0.0,,,,,,,,False,False,True,False,,,
Allbridge Core,Bridges,46.13065102827046,65.22727272727272,,,,Strong Growth,,,False,False,True,False,,,
Allstake,Liquid staking,0.0,,,,,,,,False,False,True,False,,,
Alluvial,,,,,83.74,,,,A,False,False,True,False,,,
Alongside,Asset management,0.0,,50.0,,,,Fairly Valued,,False,False,True,False,,,
Ambient,Exchanges (DEX),0.0,,,,,,,,False,False,True,False,,,
Amnis Finance,Liquid staking,0.0,,,67.57,,,,BB,False,False,True,False,,,
Ancient8,Blockchains (L2),0.0,61.54861442904921,52.0,,,Steady Growth,Fairly Valued,,False,False,True,False,,,
Ankr,Liquid staking,0.0,60.09191176470589,55.99999999999999,91.0,,Steady Growth,Fairly Valued,AA,False,False,True,False,,,
Anzen,Stablecoin issuers,0.0,,,,,,,,False,False,True,False,,,
ApeCoin,,,,,89.29,,,,AA,False,False,True,False,,,
ApePro,Exchanges (DEX),0.0,,,,,,,,False,False,True,False,,,
ApeSwap,Exchanges (DEX),27.394800990132406,38.49936903798834,90.9375,,,Slow Growth,Undervalued,,False,False,True,False,,,
ApeX Protocol,Derivative exchanges,0.0,77.65862708719851,50.0,,,Strong Growth,Fairly Valued,,False,False,True,False,,,
Apeiron,Gaming,0.0,53.39869281045752,45.0,,,Steady Growth,Fairly Valued,,False,False,True,False,,,
Aperture,Exchanges (DEX),0.0,30.454545454545457,,,,Slow Growth,,,False,False,True,False,,,
ApolloX,Derivative exchanges,37.940421981877215,77.00079169598875,60.36458333333333,,,Strong Growth,Fairly Valued,,False,False,True,False,,,
Aptin Finance,Lending,0.0,,,,,,,,False,False,True,False,,,
AptoSwap,Exchanges (DEX),0.0,,,,,,,,False,False,True,False,,,
Aptos,Blockchains (L1),43.49478334281707,74.57650162337663,55.43990384615385,94.28,,Strong Growth,Fairly Valued,AAA,False,False,True,False,,,"{""name"": ""Aptos"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 74.57650162337663, ""growth_category"": ""Strong Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}, {""name"": ""Bitcoin"", ""scores"": {""user_growth"": 73.61458333333334}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}"
Aragon,Infrastructure,0.0,11.789050337311885,46.78571428571429,,,Stagnant/Declining,Fairly Valued,,False,False,True,False,,,
Arbitrum,Blockchains (L2),64.9549137112815,96.30346290771791,70.41071428571428,94.3,,Exceptional Growth,Undervalued,AAA,False,False,True,False,,,"{""name"": ""Arbitrum"", ""sector"": ""Blockchains (L2)"", ""scores"": {""user_growth"": 96.30346290771791, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""Gravity"", ""scores"": {""user_growth"": 81.36211567178466}}, {""name"": ""Immutable X"", ""scores"": {""user_growth"": 90.02038225560229}}, {""name"": ""StarkNet"", ""scores"": {""user_growth"": 74.82779415706244}}, {""name"": ""Uniswap"", ""scores"": {""user_growth"": 77.58420441347272}}], ""sector_averages"": {""user_growth"": 54.93, ""count"": 66}}"
Arbitrum Bridge,Bridges,0.0,97.40259740259742,,,,Exceptional Growth,,,False,False,True,False,,,
Arbitrum Nova,Blockchains (L2),0.0,,,,,,,,False,False,True,False,,,
Arbitrum One,Blockchains (L2),64.9549137112815,96.30346290771791,70.41071428571428,,,Exceptional Growth,Undervalued,,False,False,True,False,,,
Archblock,Stablecoin issuers,0.0,,,,,,,,False,False,True,False,,,
Argent,Infrastructure,0.0,,,,,,,,False,False,True,False,,,
Aries Markets,Lending,0.0,,,,,,,,False,False,True,False,,,
Arkham,Infrastructure,0.0,80.31882459782044,45.99999999999999,85.6,,Exceptional Growth,Fairly Valued,A,False,False,True,False,,,
Arrakis Finance,Asset management,0.0,,,,,,,,False,False,True,False,,,
Arrow Markets,Derivative exchanges,0.0,29.333951762523192,50.0,,,Slow Growth,Fairly Valued,,False,False,True,False,,,
Arweave,Blockchains (L1),0.0,50.45454545454545,60.0,74.13,,Steady Growth,Fairly Valued,BBB,False,False,True,False,,,
Aspect,NFT marketplaces,0.0,,,,,,,,False,False,True,False,,,
Astar,Blockchains (L2),0.0,48.94308943089431,,86.81,,Steady Growth,,AA,False,False,True,False,,,
Astar zkEVM,Blockchains (L2),0.0,,,,,,,,False,False,True,False,,,
Astherus,,,,,68.94,,,,BB,False,False,True,False,,,
Astroport,Exchanges (DEX),0.0,30.6896551724138,,,,Slow Growth,,,False,False,True,False,,,
Aura Finance,Asset management,46.983308486486656,65.0293255131965,74.49404761904762,,,Strong Growth,Undervalued,,False,False,True,False,,,
Aurora,Blockchains (L2),0.0,47.61825131390349,50.0,,,Steady Growth,Fairly Valued,,False,False,True,False,,,
Avalanche,Blockchains (L1),39.96282983690581,63.59943977591037,61.80288461538461,94.12,,Steady Growth,Fairly Valued,AAA,False,False,True,False,,,"{""name"": ""Avalanche"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 63.59943977591037, ""growth_category"": ""Steady Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}, {""name"": ""Bitcoin"", ""scores"": {""user_growth"": 73.61458333333334}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}"
Avalon Finance,Lending,0.0,72.38304093567251,45.0,,,Strong Growth,Fairly Valued,,False,False,True,False,,,
Avantis,Exchanges (DEX),0.0,,,,,,,,False,False,True,False,,,
Aventus,Blockchains (L2),0.0,31.452460582895373,45.0,,,Slow Growth,Fairly Valued,,False,False,True,False,,,
Axelar Network,Interoperability,0.0,100.0,,92.36,,Exceptional Growth,,AA,False,False,True,False,,,
Axie Infinity,Gaming,0.0,94.11764705882352,80.00000000000001,85.55,,Exceptional Growth,Undervalued,A,False,False,True,False,,,"{""name"": ""Axie Infinity"", ""sector"": ""Gaming"", ""scores"": {""user_growth"": 94.11764705882352, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""Illuvium"", ""scores"": {""user_growth"": 88.45315904139433}}, {""name"": ""StarryNift"", ""scores"": {""user_growth"": 81.2636165577342}}, {""name"": ""Yield Guild Games"", ""scores"": {""user_growth"": 79.79847494553377}}, {""name"": ""Seraph"", ""scores"": {""user_growth"": 79.52069716775598}}], ""sector_averages"": {""user_growth"": 54.46, ""count"": 19}}"
Axiom,Infrastructure,0.0,,,,,,,,False,False,True,False,,,
Azuro,Prediction markets,0.0,65.46875,55.0,,,Strong Growth,Fairly Valued,,False,False,True,False,,,
B.Protocol,Infrastructure,0.0,,,,,,,,False,False,True,False,,,
B3,Blockchains (L3),0.0,70.0,55.0,,,Strong Growth,Fairly Valued,,False,False,True,False,,,
BENQI Liquid Staked AVAX,Lending,40.20428212006127,70.427022417154,60.67187500000001,79.85,,Strong Growth,Fairly Valued,A,False,False,True,False,,,"{""name"": ""BENQI Liquid Staked AVAX"", ""sector"": ""Unknown"", ""scores"": {""user_growth"": null, ""growth_category"": null}, ""peers"": [{""name"": ""CoW DAO"", ""scores"": {""user_growth"": null}}, {""name"": ""Entangle"", ""scores"": {""user_growth"": null}}, {""name"": ""Mocaverse"", ""scores"": {""user_growth"": null}}, {""name"": ""OriginTrail"", ""scores"": {""user_growth"": null}}], ""sector_averages"": {""user_growth"": null, ""count"": 0}}"
BENQI Liquid Staked AVAX,,,,,79.85,,,,A,False,False,True,False,,,"{""name"": ""BENQI Liquid Staked AVAX"", ""sector"": ""Unknown"", ""scores"": {""user_growth"": null, ""growth_category"": null}, ""peers"": [{""name"": ""CoW DAO"", ""scores"": {""user_growth"": null}}, {""name"": ""Entangle"", ""scores"": {""user_growth"": null}}, {""name"": ""Mocaverse"", ""scores"": {""user_growth"": null}}, {""name"": ""OriginTrail"", ""scores"": {""user_growth"": null}}], ""sector_averages"": {""user_growth"": null, ""count"": 0}}"
BENQI Liquid Staking,Liquid staking,0.0,57.5,,,,Steady Growth,,,False,False,True,False,,,
BMX,Derivative exchanges,44.40244942680416,65.88605975305484,83.2936507936508,,,Strong Growth,Undervalued,,False,False,True,False,,,
BNB Chain,Blockchains (L1),48.5009231754041,94.40882034632034,67.66666666666667,94.69,,Exceptional Growth,Fairly Valued,AAA,False,False,True,False,,,"{""name"": ""BNB Chain"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 94.40882034632034, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""Bitcoin"", ""scores"": {""user_growth"": 73.61458333333334}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}"
BNB48 Club Token,,,,,66.67,,,,BB,False,False,True,False,,,
BOB,Blockchains (L2),0.0,65.438443670151,,,,Strong Growth,,,False,False,True,False,,,
BSX Exchange,Derivative exchanges,0.0,,,,,,,,False,False,True,False,,,
Baby Doge,,,,,81.19,,,,A,False,False,True,False,,,
Baby Shark Universe,Gaming,0.0,,,,,,,,False,False,True,False,,,
BadgerDAO,Asset management,0.0,90.1466275659824,57.5,,,Exceptional Growth,Fairly Valued,,False,False,True,False,,,
Bahamut,,,,,86.73,,,,AA,False,False,True,False,,,
Baki Exchange,Exchanges (DEX),0.0,,,,,,,,False,False,True,False,,,
Balancer,Exchanges (DEX),49.78915794019274,72.5522044696127,61.92897727272727,,,Strong Growth,Fairly Valued,,False,False,True,False,,,
Banana Gun,Infrastructure,0.0,69.36267514270888,50.0,,,Strong Growth,Fairly Valued,,False,False,True,False,,,
Bancor,Exchanges (DEX),33.46962471598141,44.69622181211448,45.49431818181819,,,Slow Growth,Fairly Valued,,False,False,True,False,,,
Band Protocol,,,,,90.28,,,,AA,False,False,True,False,,,
Barnbridge,Asset management,0.0,73.66568914956012,57.5,,,Strong Growth,Fairly Valued,,False,False,True,False,,,
Baryon,Exchanges (DEX),0.0,,,,,,,,False,False,True,False,,,
BasePaint,NFT marketplaces,0.0,,,,,,,,False,False,True,False,,,
BaseSwap,Exchanges (DEX),0.0,40.728958101594365,55.0,,,Slow Growth,Fairly Valued,,False,False,True,False,,,
Baseline,Infrastructure,0.0,,,,,,,,False,False,True,False,,,
Basic Attention Token,,,,,91.37,,,,AA,False,False,True,False,,,
Beacon ETH,,,,,84.26,,,,A,False,False,True,False,,,
Beam,Blockchains (L1),0.0,58.181818181818194,50.0,84.48,,Steady Growth,Fairly Valued,A,False,False,True,False,,,
Bedrock,Liquid staking,0.0,,,,,,,,False,False,True,False,,,
Beefy,Asset management,0.0,59.68914956011732,45.0,,,Steady Growth,Fairly Valued,,False,False,True,False,,,
Beets,Exchanges (DEX),24.74094562402632,41.18094178717094,40.73106060606061,,,Slow Growth,Fairly Valued,,False,False,True,False,,,
Beldex,,,,,70.37,,,,BB,False,False,True,False,,,
BendDAO,Lending,0.0,37.61208576998051,89.5,,,Slow Growth,Undervalued,,False,False,True,False,,,
Berachain,Blockchains (L1),0.0,53.580627705627705,45.0,87.93,,Steady Growth,Fairly Valued,AA,False,False,True,False,,,
BetSwirl,Prediction markets,0.0,31.718750000000004,77.77777777777779,,,Slow Growth,Undervalued,,False,False,True,False,,,
Biconomy,Infrastructure,0.0,57.13090295796575,50.0,,,Steady Growth,Fairly Valued,,False,False,True,False,,,
Bifrost,Blockchains (L2),0.0,53.28021499406516,,,,Steady Growth,,,False,False,True,False,,,
Big Time,,,,,83.2,,,,A,False,False,True,False,,,
Binance Staked SOL,,,,,70.71,,,,BB,False,False,True,False,,,
Biswap,Exchanges (DEX),28.737180739732462,66.92248015471738,45.83806818181819,,,Strong Growth,Fairly Valued,,False,False,True,False,,,
BitDAO,Asset management,0.0,51.94721407624634,55.0,,,Steady Growth,Fairly Valued,,False,False,True,False,,,
BitTorrent,,,,,83.5,,,,A,False,False,True,False,,,
Bitcoin,Blockchains (L1),0.0,73.61458333333334,53.148387096774194,96.87,,Strong Growth,Fairly Valued,AAA,False,False,True,False,,,"{""name"": ""Bitcoin"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 73.61458333333334, ""growth_category"": ""Strong Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}"
Bitcoin Avalanche Bridged,,,,,65.53,,,,BB,False,False,True,False,,,
Bitcoin BEP2,,,,,78.44,,,,BBB,False,False,True,False,,,
Bitcoin Cash,,,,,75.38,,,,BBB,False,False,True,False,,,
Bitcoin SV,,,,,71.66,,,,BBB,False,False,True,False,,,
Bitcoin Virtual Machine,,,,,79.34,,,,A,False,False,True,False,,,
Bitget Token,,,,,86.26,,,,A,False,False,True,False,,,
Bitkub,,,,,68.27,,,,BB,False,False,True,False,,,
Bittensor,Blockchains (L1),0.0,55.0,,74.18,,Steady Growth,,BBB,False,False,True,False,,,
Bitwise (ETHW),Asset management,0.0,,,,,,,,False,False,True,False,,,
Black Panther,Asset management,0.0,25.15151515151516,,,,Slow Growth,,,False,False,True,False,,,
BlackRock (BUIDL),Asset management,0.0,,,,,,,,False,False,True,False,,,
Blackbird,Social,0.0,,,,,,,,False,False,True,False,,,
BladeSwap,Exchanges (DEX),0.0,28.87300704486467,50.0,,,Slow Growth,Fairly Valued,,False,False,True,False,,,
Blast,Blockchains (L2),30.36496380874365,77.59650708517357,65.02747252747253,,,Strong Growth,Fairly Valued,,False,False,True,False,,,
Blast Bridge,Bridges,0.0,55.90445269016698,,,,Steady Growth,,,False,False,True,False,,,
BlazeStake,,,,,72.76,,,,BBB,False,False,True,False,,,
Blitz,Blockchains (L1),0.0,,,,,,,,False,False,True,False,,,
Bluefin,Derivative exchanges,0.0,73.46938775510205,,,,Strong Growth,,,False,False,True,False,,,
Blur,NFT marketplaces,0.0,88.75000000000001,88.75000000000001,88.08,,Exceptional Growth,Undervalued,AA,False,False,True,False,,,"{""name"": ""Blur"", ""sector"": ""NFT marketplaces"", ""scores"": {""user_growth"": 88.75000000000001, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""FTX"", ""scores"": {""user_growth"": 34.583333333333336}}, {""name"": ""Magic Eden"", ""scores"": {""user_growth"": 100.0}}, {""name"": ""OpenSea"", ""scores"": {""user_growth"": 100.0}}, {""name"": ""Zora"", ""scores"": {""user_growth"": 80.0}}], ""sector_averages"": {""user_growth"": 54.66, ""count"": 16}}"
Boba Network,Blockchains (L2),0.0,57.88461538461539,,,,Steady Growth,,,False,False,True,False,,,
Bonk,,,,,85.68,,,,A,False,False,True,False,,,
BoomLand,Gaming,0.0,,,,,,,,False,False,True,False,,,
Botto,NFT marketplaces,0.0,42.5,50.0,,,Slow Growth,Fairly Valued,,False,False,True,False,,,
Bounce Finance,Infrastructure,0.0,53.94864951689031,48.61111111111112,,,Steady Growth,Fairly Valued,,False,False,True,False,,,
BounceBit,Blockchains (L1),0.0,35.75757575757576,,,,Slow Growth,,,False,False,True,False,,,
Brave,Infrastructure,0.0,74.00655163466527,55.0,,,Strong Growth,Fairly Valued,,False,False,True,False,,,
Brett,,,,,79.19,,,,A,False,False,True,False,,,
Bucket Protocol,Lending,0.0,,,,,,,,False,False,True,False,,,
Buffer Finance,Derivative exchanges,0.0,35.486053355511494,40.22222222222222,,,Slow Growth,Fairly Valued,,False,False,True,False,,,
Bungee,Bridges,0.0,,,,,,,,False,False,True,False,,,
Burrow,Lending,0.0,,,,,,,,False,False,True,False,,,
CORE Staking,,,,,69.71,,,,BB,False,False,True,False,,,
COTI,Blockchains (L2),0.0,86.53846153846155,,90.22,,Exceptional Growth,,AA,False,False,True,False,,,
Camelot,Exchanges (DEX),37.0107715941185,67.31728435635556,65.87337662337663,,,Strong Growth,Fairly Valued,,False,False,True,False,,,
Cap,Derivative exchanges,,33.142303355511494,67.5,,,Slow Growth,Fairly Valued,,False,False,True,False,,,
Cardano,Blockchains (L1),0.0,90.9090909090909,44.48356079404466,89.2,,Exceptional Growth,Fairly Valued,AA,False,False,True,False,,,"{""name"": ""Cardano"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 90.9090909090909, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}"
Carv,Infrastructure,0.0,59.01238972496108,55.0,,,Steady Growth,Fairly Valued,,False,False,True,False,,,
Casper,,,,,81.17,,,,A,False,False,True,False,,,
Cat Town,Gaming,0.0,45.010893246187365,52.0,,,Steady Growth,Fairly Valued,,False,False,True,False,,,
Catalyst,Bridges,0.0,,,,,,,,False,False,True,False,,,
Celer Network,Infrastructure,0.0,56.10923715620135,50.0,,,Steady Growth,Fairly Valued,,False,False,True,False,,,
Celestia,Blockchains (L1),0.0,53.86363636363636,,79.94,,Steady Growth,,A,False,False,True,False,,,
Cellana Finance,Exchanges (DEX),0.0,34.13793103448276,,,,Slow Growth,,,False,False,True,False,,,
Celo,Blockchains (L1),35.305556571473666,56.73683261183261,72.05833333333334,78.76,,Steady Growth,Undervalued,BBB,False,False,True,False,,,"{""name"": ""Celo"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 56.73683261183261, ""growth_category"": ""Steady Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}"
Celo Dollar,Stablecoin issuers,0.0,,,,,,,,False,False,True,False,,,
Centrifuge,Blockchains (L2),0.0,28.965898232202576,50.0,,,Slow Growth,Fairly Valued,,False,False,True,False,,,
Cetus,Exchanges (DEX),0.0,80.45977011494253,,,,Exceptional Growth,,,False,False,True,False,,,
Chainlink,Infrastructure,26.85214894352868,85.72299651567945,30.937500000000004,92.06,,Exceptional Growth,Overvalued,AA,False,False,True,False,,,"{""name"": ""Chainlink"", ""sector"": ""Infrastructure"", ""scores"": {""user_growth"": 85.72299651567945, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""Livepeer"", ""scores"": {""user_growth"": 85.63829787234042}}, {""name"": ""Render Network"", ""scores"": {""user_growth"": 91.6969382459782}}, {""name"": ""Virtuals Protocol"", ""scores"": {""user_growth"": 91.48936170212764}}, {""name"": ""Kaito"", ""scores"": {""user_growth"": 85.92371562013491}}], ""sector_averages"": {""user_growth"": 53.9, ""count"": 52}}"
Cheelee,,,,,89.6,,,,AA,False,False,True,False,,,
Cheems (cheems.pet),,,,,74.5,,,,BBB,False,False,True,False,,,
Chia,,,,,74.04,,,,BBB,False,False,True,False,,,
Chiliz,Blockchains (L1),0.0,51.59090909090909,,89.11,,Steady Growth,,AA,False,False,True,False,,,
Chingari,Social,0.0,50.83333333333333,,,,Steady Growth,,,False,False,True,False,,,
Chintai,,,,,83.15,,,,A,False,False,True,False,,,
Circle,Stablecoin issuers,76.87753988671372,,,87.25,,,,AA,False,False,True,False,,,
Clave,Infrastructure,0.0,,,,,,,,False,False,True,False,,,
Clipper,Exchanges (DEX),40.82579379600983,41.87784406916776,54.02698863636364,,,Slow Growth,Fairly Valued,,False,False,True,False,,,
Clique,Infrastructure,0.0,,,,,,,,False,False,True,False,,,
CoW DAO,Exchanges (DEX),0.0,69.21655901338188,32.22222222222222,85.35,,Strong Growth,Overvalued,A,False,False,True,False,,,"{""name"": ""CoW DAO"", ""sector"": ""Unknown"", ""scores"": {""user_growth"": null, ""growth_category"": null}, ""peers"": [{""name"": ""BENQI Liquid Staked AVAX"", ""scores"": {""user_growth"": null}}, {""name"": ""Entangle"", ""scores"": {""user_growth"": null}}, {""name"": ""Mocaverse"", ""scores"": {""user_growth"": null}}, {""name"": ""OriginTrail"", ""scores"": {""user_growth"": null}}], ""sector_averages"": {""user_growth"": null, ""count"": 0}}"
