Project,Market Sector,User Growth Score,Earnings Quality Score,Fair Value Score,Safety & Stability Score,Overall Score
BetSwirl,Prediction markets,55.0,100.0,,,77.5
Axelar Network,Interoperability,100.0,55.0,,,77.5
Metis,Blockchains (L2),77.27272727272727,,,,77.27272727272727
Immutable,Blockchains (L2),63.52272727272727,91.66666666666666,75.0,,76.72979797979798
Tornado Cash,Infrastructure,,73.33333333333333,80.0,,76.66666666666666
Cronos,Blockchains (L1),,76.47058823529412,,,76.47058823529412
Integral,Exchanges (DEX),,61.06971153846154,90.625,,75.84735576923077
KyberSwap,Exchanges (DEX),84.44444444444444,84.69551282051282,57.34375,,75.4945690883191
Aerodrome,Exchanges (DEX),88.88888888888889,53.044871794871796,84.375,,75.43625356125357
Manifold.xyz,NFT marketplaces,,75.41666666666667,,,75.41666666666667
Pendle,Derivative exchanges,93.33333333333333,84.96543778801843,47.5,,75.26625704045058
Allbridge Core,Bridges,67.5,82.95454545454545,,,75.22727272727272
Marinade,Liquid staking,75.0,,,,75.0
Zircuit,Blockchains (L2),75.0,,,,75.0
Helium,Infrastructure,,86.66666666666667,62.5,,74.58333333333334
Aura Finance,Asset management,88.88888888888889,49.09090909090909,85.71428571428571,,74.56469456469456
Thena,Exchanges (DEX),77.77777777777779,52.03525641025641,93.75,,74.52101139601139
TON,Blockchains (L1),,82.35294117647058,65.5,,73.92647058823529
ApeSwap,Exchanges (DEX),64.16666666666666,55.84134615384615,100.0,,73.33600427350427
Rarible,NFT marketplaces,72.72727272727273,79.58333333333333,67.5,,73.27020202020202
StakeWise,Liquid staking,55.0,63.92857142857143,100.0,,72.97619047619048
Blast,Blockchains (L2),93.18181818181819,61.25,64.375,,72.93560606060606
LFJ,Exchanges (DEX),80.0,86.0576923076923,52.65625,,72.90464743589745
Sophon,Blockchains (L2),72.72727272727273,,,,72.72727272727273
Katana,Exchanges (DEX),75.55555555555556,68.8661858974359,,,72.21087072649573
HMX,Derivative exchanges,62.5,72.98387096774194,80.0,,71.82795698924731
BNB Chain,Blockchains (L1),,94.11764705882352,53.5,67.5,71.70588235294117
Arbitrum Bridge,Bridges,91.66666666666666,51.59090909090909,,,71.62878787878788
Balancer,Exchanges (DEX),73.33333333333333,86.29807692307692,55.0,,71.54380341880342
Avalanche,Blockchains (L1),,70.58823529411765,72.0,,71.29411764705883
Polygon,Blockchains (L1),,66.02941176470588,76.0,,71.01470588235294
ParaSwap,Exchanges (DEX),47.5,77.48397435897435,87.5,,70.82799145299145
Scroll,Blockchains (L2),70.45454545454545,,,,70.45454545454545
Celo,Blockchains (L1),,52.79411764705882,88.0,,70.3970588235294
BMX,Derivative exchanges,83.33333333333334,42.28110599078341,85.0,,70.20481310803892
Tokemak,Asset management,,90.45454545454545,49.64285714285714,,70.0487012987013
Synthetix,Derivative exchanges,86.66666666666666,78.16820276497695,43.75,,69.52828981054786
BendDAO,Lending,40.0,68.125,100.0,,69.375
SushiSwap,Exchanges (DEX),86.66666666666667,75.16025641025641,45.625,,69.15064102564104
Rocket Pool,Liquid staking,69.0625,,,,69.0625
friend.tech,Social,67.5,83.75,55.0,,68.75
Camelot,Exchanges (DEX),71.11111111111111,72.99278846153847,62.03125,,68.71171652421653
Cardano,Blockchains (L1),,68.23529411764707,,,68.23529411764707
Maple Finance,Lending,,61.770833333333336,73.33333333333333,,67.55208333333333
Livepeer,Infrastructure,,67.5,,,67.5
Stargate,Bridges,75.0,84.6590909090909,42.5,,67.38636363636364
Polygon zkEVM,Blockchains (L2),66.93181818181819,,,,66.93181818181819
Zora,NFT marketplaces,81.81818181818183,51.875,,,66.8465909090909
NFTX,NFT marketplaces,65.22727272727272,68.125,,,66.67613636363636
Aave GHO,Stablecoin issuers,66.41304347826087,,,,66.41304347826087
Kwenta,Derivative exchanges,70.0,61.65322580645161,,,65.82661290322581
Synapse,Bridges,61.25,68.55113636363637,67.5,,65.76704545454545
BENQI Liquid Staking,Liquid staking,59.6875,71.42857142857143,,,65.55803571428572
Ethena,Stablecoin issuers,70.97826086956522,39.64285714285714,85.71428571428571,,65.44513457556936
MUX,Derivative exchanges,65.0,68.65783410138249,62.5,,65.38594470046083
Euler,Lending,70.0,72.22222222222221,52.5,,64.9074074074074
Cap,Derivative exchanges,47.5,50.766129032258064,95.0,,64.42204301075269
Equalizer Exchange,Exchanges (DEX),38.888888888888886,53.4375,100.0,,64.10879629629629
Dogecoin,Blockchains (L1),,63.82352941176471,,,63.82352941176471
Foundation,NFT marketplaces,58.40909090909091,69.16666666666667,,,63.78787878787879
Ramses Exchange,Exchanges (DEX),54.166666666666664,58.36538461538461,78.125,,63.552350427350426
Moonwell,Lending,80.0,42.91666666666667,67.5,,63.47222222222223
Tokenlon,Exchanges (DEX),40.833333333333336,82.37179487179488,66.71875,,63.307959401709404
Agora,Stablecoin issuers,63.152173913043484,,,,63.152173913043484
zkSync Era,Blockchains (L2),88.63636363636364,55.0,45.625,,63.08712121212121
Velodrome,Exchanges (DEX),67.5,49.71153846153845,71.875,,63.02884615384615
Gravity Alpha Mainnet,Blockchains (L2),65.22727272727272,67.5,55.0,,62.57575757575757
Index Cooperative,Asset management,59.16666666666667,67.61363636363637,60.357142857142854,,62.37914862914863
Taiko,Blockchains (L2),61.81818181818182,,,,61.81818181818182
ZeroLend,Lending,55.0,42.5,86.66666666666667,,61.38888888888889
Curve,Exchanges (DEX),79.58333333333334,53.52564102564102,50.3125,,61.140491452991455
Hegic,Derivative exchanges,57.5,65.9302995391705,58.75000000000001,,60.72676651305684
Thruster,Exchanges (DEX),45.833333333333336,66.89903846153845,69.0625,,60.598290598290596
BOB,Blockchains (L2),60.11363636363637,,,,60.11363636363637
Starknet,Blockchains (L2),93.18181818181817,26.666666666666664,,,59.92424242424242
Global Dollar Network,Stablecoin issuers,59.891304347826086,,,,59.891304347826086
Houdini Swap,Exchanges (DEX),,38.50961538461539,81.25,,59.87980769230769
Maverick Protocol,Exchanges (DEX),69.16666666666666,50.3125,,,59.73958333333333
Seamless Protocol,Lending,62.5,57.864583333333336,57.5,,59.28819444444445
Fuel Ignition,Blockchains (L2),58.40909090909091,,,,58.40909090909091
Origin Protocol,Stablecoin issuers,51.19565217391305,74.10714285714286,49.64285714285714,,58.31521739130435
DODO,Exchanges (DEX),65.83333333333333,70.92948717948718,38.125,,58.29594017094016
Unipilot,Asset management,50.83333333333333,65.22727272727272,,,58.030303030303024
Aptos,Blockchains (L1),,59.411764705882355,56.5,,57.955882352941174
Holdstation,Derivative exchanges,70.0,63.381336405529964,40.0,,57.793778801843324
Eclipse,Blockchains (L2),56.70454545454545,,,,56.70454545454545
X2Y2,NFT marketplaces,37.272727272727266,32.70833333333333,100.0,,56.66035353535353
Inverse Finance,Stablecoin issuers,56.630434782608695,,,,56.630434782608695
Alongside,Asset management,,56.36363636363636,,,56.36363636363636
Abracadabra.money,Stablecoin issuers,84.83695652173913,59.464285714285715,24.285714285714285,,56.19565217391304
zkSync Lite,Blockchains (L2),55.0,,,,55.0
Azuro,Prediction markets,55.0,,,,55.0
PoolTogether,Asset management,67.5,42.38636363636363,,,54.94318181818181
Level Finance,Derivative exchanges,52.5,57.07373271889401,55.0,,54.857910906298
Biswap,Exchanges (DEX),60.83333333333333,61.25,40.9375,,54.34027777777777
Silo Finance,Lending,51.25,75.0,36.66666666666667,,54.305555555555564
BENQI,Lending,75.0,40.0,47.5,,54.166666666666664
Sudoswap,NFT marketplaces,51.59090909090909,68.125,42.5,,54.071969696969695
Thetanuts,Asset management,50.83333333333333,56.36363636363636,,,53.598484848484844
Frax Stablecoin,Stablecoin issuers,53.369565217391305,,,,53.369565217391305
Optimism Gateway,Bridges,55.0,51.59090909090909,,,53.29545454545455
Abstract,Blockchains (L2),53.29545454545455,,,,53.29545454545455
SyncSwap,Exchanges (DEX),44.16666666666667,61.67067307692308,,,52.918669871794876
Angle,Stablecoin issuers,46.84782608695652,39.82142857142857,71.42857142857143,,52.699275362318836
Zerion,Infrastructure,,52.5,,,52.5
The Graph,Infrastructure,,57.5,47.5,,52.5
StakeStone,Liquid staking,64.375,40.535714285714285,,,52.45535714285714
Shoebill Finance,Lending,58.75000000000001,45.954861111111114,,,52.35243055555556
Arbitrum Nova,Blockchains (L2),51.59090909090909,,,,51.59090909090909
dYdX,Derivative exchanges,,50.766129032258064,,,50.766129032258064
Litecoin,Blockchains (L1),,50.588235294117645,,,50.588235294117645
Perpetual Protocol,Derivative exchanges,60.0,60.832373271889395,30.0,,50.27745775729647
Paxos,Stablecoin issuers,50.108695652173914,,,,50.108695652173914
Compound,Lending,66.25,53.26388888888889,30.0,,49.83796296296296
Ink,Blockchains (L2),49.88636363636363,48.75,,,49.31818181818181
Premia,Derivative exchanges,47.5,50.766129032258064,,,49.13306451612903
Opyn,Derivative exchanges,47.5,50.766129032258064,,,49.13306451612903
Metavault.Trade,Derivative exchanges,47.5,50.766129032258064,,,49.13306451612903
Volmex,Derivative exchanges,47.5,50.766129032258064,,,49.13306451612903
Voltz,Derivative exchanges,47.5,50.766129032258064,,,49.13306451612903
Polynomial Protocol,Derivative exchanges,47.5,50.766129032258064,,,49.13306451612903
Mean Finance,Exchanges (DEX),,49.05048076923077,,,49.05048076923077
1inch,Exchanges (DEX),93.33333333333333,40.51282051282051,12.5,,48.78205128205128
Blast Bridge,Bridges,48.75,,,,48.75
Manta,Blockchains (L2),68.63636363636363,42.5,35.0,,48.71212121212121
Ribbon Finance,Asset management,50.83333333333333,56.36363636363636,38.57142857142857,,48.58946608946608
Dopex,Derivative exchanges,47.5,46.53225806451613,51.25,,48.42741935483871
LooksRare,NFT marketplaces,44.77272727272727,51.875,,,48.32386363636364
MultiversX,Blockchains (L1),,48.382352941176464,47.5,,47.94117647058823
Bounce Finance,Infrastructure,,47.5,,,47.5
Toucan Protocol,Infrastructure,,47.5,,,47.5
Kleros,Infrastructure,,47.5,,,47.5
Aragon,Infrastructure,,47.5,,,47.5
Pocket Network,Infrastructure,,47.5,,,47.5
Swarm,Infrastructure,,47.5,,,47.5
Spark Protocol,Lending,47.5,,,,47.5
Vesta Finance,Stablecoin issuers,55.0,39.82142857142857,,,47.410714285714285
Everclear,Bridges,42.5,52.01704545454545,,,47.25852272727273
Algorand,Blockchains (L1),,43.970588235294116,50.5,,47.23529411764706
Clipper,Exchanges (DEX),34.44444444444444,47.30769230769231,59.6875,,47.14654558404558
Buffer Finance,Derivative exchanges,47.5,46.53225806451613,,,47.016129032258064
Liquity,Stablecoin issuers,45.54347826086956,34.285714285714285,60.357142857142854,,46.7287784679089
Mode Network,Blockchains (L2),46.47727272727273,,,,46.47727272727273
Chainlink,Infrastructure,,62.5,30.0,,46.25
Lybra Finance,Stablecoin issuers,46.19565217391305,,,,46.19565217391305
Lens Protocol,Social,42.5,48.75,,,45.625
Ether.fi,Liquid staking,45.625,,,,45.625
SpookySwap,Exchanges (DEX),50.83333333333333,52.53605769230769,31.875,,45.081463675213676
Stader,Liquid staking,50.3125,49.64285714285714,35.0,,44.985119047619044
Thales,Derivative exchanges,55.0,54.52476958525345,25.0,,44.84158986175115
Pangolin,Exchanges (DEX),49.166666666666664,62.8125,22.5,,44.826388888888886
Karak,Blockchains (L2),44.77272727272727,,,,44.77272727272727
NEAR Protocol,Blockchains (L1),,11.76470588235294,80.0,42.5,44.75490196078431
Stellar,Blockchains (L1),,55.0,34.0,,44.5
Reflexer,Stablecoin issuers,,50.17857142857143,38.57142857142857,,44.375
Fraxlend,Lending,43.75,,,,43.75
Lista DAO,Stablecoin issuers,43.586956521739125,,,,43.586956521739125
zkSync Era Bridge,Bridges,35.0,51.59090909090909,,,43.29545454545455
Bancor,Exchanges (DEX),23.333333333333336,62.8125,43.28125,,43.142361111111114
ZKFair,Blockchains (L2),43.06818181818181,,,,43.06818181818181
Beets,Exchanges (DEX),55.83333333333333,37.06730769230769,35.0,,42.633547008547005
Zyberswap,Exchanges (DEX),42.5,37.40384615384615,47.96875,,42.62419871794872
Mummy Finance,Derivative exchanges,50.0,34.83294930875576,,,42.41647465437788
Kusama,Blockchains (L1),,39.411764705882355,44.5,,41.955882352941174
Ronin,Blockchains (L1),,57.20588235294118,26.0,,41.602941176470594
Unichain,Blockchains (L2),48.18181818181819,35.0,,,41.59090909090909
Boba Network,Blockchains (L2),41.36363636363636,,,,41.36363636363636
Archblock,Stablecoin issuers,40.32608695652174,,,,40.32608695652174
XOXNO,NFT marketplaces,28.181818181818183,51.875,,,40.02840909090909
Sound.xyz,NFT marketplaces,28.181818181818183,51.875,,,40.02840909090909
AirSwap,Exchanges (DEX),52.5,48.449519230769226,18.75,,39.899839743589745
Polkadot,Blockchains (L1),,41.76470588235294,38.0,,39.88235294117647
Kroma Network,Blockchains (L2),39.54545454545455,,,,39.54545454545455
Deri Protocol,Derivative exchanges,47.5,50.766129032258064,20.0,,39.42204301075269
IPOR Protocol,Derivative exchanges,47.5,35.24769585253456,35.0,,39.24923195084485
Prisma Finance,Stablecoin issuers,39.02173913043478,,,,39.02173913043478
Fantom,Blockchains (L1),,36.470588235294116,41.5,,38.98529411764706
Cryptex,Asset management,50.83333333333333,41.59090909090909,24.285714285714285,,38.903318903318905
Ren,Bridges,26.666666666666664,48.60795454545455,,,37.63731060606061
Aperture,Exchanges (DEX),32.22222222222222,42.676282051282044,,,37.449252136752136
Mint Blockchain,Blockchains (L2),37.272727272727266,,,,37.272727272727266
CoW Protocol,Exchanges (DEX),57.5,16.939102564102562,,,37.219551282051285
Gearbox,Lending,30.0,37.77777777777778,42.5,,36.75925925925926
zkSwap Finance,Exchanges (DEX),36.66666666666667,,,,36.66666666666667
Pika Protocol,Derivative exchanges,47.5,50.766129032258064,10.0,,36.08870967741935
Filecoin,Blockchains (L1),,11.76470588235294,59.50000000000001,,35.63235294117647
SolidLizard,Exchanges (DEX),30.0,40.592948717948715,,,35.29647435897436
Ankr,Liquid staking,35.0,,,,35.0
Liquid Collective,Liquid staking,35.0,,,,35.0
HYCHAIN,Blockchains (L2),35.0,,,,35.0
Cosmos Hub,Blockchains (L1),,46.17647058823529,22.0,,34.088235294117645
Radiant Capital,Lending,35.0,42.916666666666664,23.333333333333336,,33.75
Redstone,Blockchains (L2),32.72727272727273,,,,32.72727272727273
Frax Ether,Liquid staking,40.9375,24.285714285714285,,,32.61160714285714
Across,Bridges,26.666666666666664,37.04545454545455,,,31.856060606060606
Monerium,Stablecoin issuers,31.73913043478261,,,,31.73913043478261
Verse,Exchanges (DEX),27.77777777777778,38.068910256410255,28.75,,31.532229344729345
Tezos,Blockchains (L1),,30.588235294117645,,,30.588235294117645
Metal,Blockchains (L2),30.454545454545457,,,,30.454545454545457
Terra,Blockchains (L1),,,30.0,,30.0
0x,Exchanges (DEX),21.11111111111111,38.50961538461539,,,29.81036324786325
Lighter,Exchanges (DEX),21.11111111111111,38.50961538461539,,,29.81036324786325
xExchange,Exchanges (DEX),,28.75,,,28.75
IDEX,Exchanges (DEX),,28.75,,,28.75
Wombat Exchange,Exchanges (DEX),25.555555555555557,34.03846153846154,25.625,,28.40633903133903
AlienX,Blockchains (L2),28.181818181818183,,,,28.181818181818183
Goldfinch,Lending,30.0,40.83333333333333,13.333333333333334,,28.055555555555554
Notional Finance,Lending,20.0,35.71180555555556,,,27.85590277777778
Mina Protocol,Blockchains (L1),,27.647058823529413,,,27.647058823529413
re.al,Blockchains (L2),25.909090909090907,,,,25.909090909090907
TrueFi,Lending,20.0,31.024305555555557,,,25.51215277777778
Osmosis,Exchanges (DEX),21.11111111111111,28.75,,,24.930555555555557
Hashflow,Exchanges (DEX),21.11111111111111,28.75,,,24.930555555555557
Gnosis,Blockchains (L1),,33.529411764705884,16.0,,24.764705882352942
Viction,Blockchains (L1),,24.705882352941178,,,24.705882352941178
Ancient8,Blockchains (L2),23.636363636363633,,,,23.636363636363633
Swell,Liquid staking,22.5,,,,22.5
DFX Finance,Exchanges (DEX),21.11111111111111,38.50961538461539,6.25,,21.956908831908834
Conflux Core Space,Blockchains (L1),,21.764705882352942,,,21.764705882352942
Reya,Blockchains (L2),21.363636363636363,,,,21.363636363636363
Aleph Zero EVM,Blockchains (L2),,16.666666666666664,22.5,,19.583333333333332
Optopia,Blockchains (L2),18.181818181818183,,,,18.181818181818183
Term Structure,Blockchains (L2),13.636363636363635,,,,13.636363636363635
Karura,Blockchains (L1),,17.647058823529413,8.0,,12.823529411764707
StaFi,Liquid staking,12.5,,,,12.5
Parallel,Blockchains (L2),9.090909090909092,,,,9.090909090909092
Raft,Stablecoin issuers,8.695652173913043,,,,8.695652173913043
Hypr,Blockchains (L2),4.545454545454546,,,,4.545454545454546
