Project,Market Sector,EQS,UGS,FVS,SS,how3 Score,Growth Category,Valuation Category,SS (Rating),UGS dune,EQS dune,Static,Live,Dune Links,Symbol,EQSJSON
Aftermath Finance,Exchanges (DEX),0.0,,,,,,,,,,,,,,
AgentFun,,,,,46.56,,,,CC,,,,,,,
Agora,Stablecoin issuers,0.0,,,,,,,,,,,,,,
Ai16z,,,,,59.62,,,,B,,,,,,,
AirSwap,Exchanges (DEX),26.124929979396992,59.36675219941349,32.25378787878788,,,Steady Growth,Overvalued,,,,,,,,
Ajuna Network,Blockchains (L2),0.0,25.384615384615387,,,,Slow Growth,,,,,,,,,
Akash Network,Infrastructure,0.0,65.37234042553192,,82.55,,Strong Growth,,A,,,,,,,
Alaya AI,Infrastructure,0.0,,,,,,,,,,,,,,
Alchemix Finance,Asset management,0.0,77.2238514173998,52.0,,,Strong Growth,Fairly Valued,,,,,,,,
Alchemy Pay,,,,,84.45,,,,A,,,,,,,
Aleph Zero EVM,Blockchains (L2),23.0080774522824,59.28015077115355,14.933333333333332,,,Steady Growth,Overvalued,,,,,,,,
Algorand,Blockchains (L1),38.517054285532666,57.27272727272727,52.52403846153846,87.49,,Steady Growth,Fairly Valued,AA,,,,,,algo,"{""name"": ""Algorand"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 38.517054285532666}, ""peers"": [{""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}, {""name"": ""Celo"", ""scores"": {""earnings_quality"": 35.305556571473666}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}"
Alien Base,Exchanges (DEX),0.0,53.53281423804228,55.0,,,Steady Growth,Fairly Valued,,,,,,,,
AlienX,Blockchains (L2),0.0,,,,,,,,,,,,,,
Alkimi Exchange,Infrastructure,0.0,37.23566424494032,45.0,,,Slow Growth,Fairly Valued,,,,,,,,
Alkimiya,Infrastructure,0.0,,,,,,,,,,,,,,
Allbridge Core,Bridges,46.13065102827046,65.22727272727272,,,,Strong Growth,,,,,,,,,
Allstake,Liquid staking,0.0,,,,,,,,,,,,,,
Alluvial,,,,,83.74,,,,A,,,,,,,
Alongside,Asset management,0.0,,50.0,,,,Fairly Valued,,,,,,,,
Ambient,Exchanges (DEX),0.0,,,,,,,,,,,,,,
Amnis Finance,Liquid staking,0.0,,,67.57,,,,BB,,,,,,,
Ancient8,Blockchains (L2),0.0,61.54861442904921,52.0,,,Steady Growth,Fairly Valued,,,,,,,,
Ankr,Liquid staking,0.0,60.09191176470589,55.99999999999999,91.0,,Steady Growth,Fairly Valued,AA,,,,,,,
Anzen,Stablecoin issuers,0.0,,,,,,,,,,,,,,
ApeCoin,,,,,89.29,,,,AA,,,,,,,
ApePro,Exchanges (DEX),0.0,,,,,,,,,,,,,,
ApeSwap,Exchanges (DEX),27.394800990132406,38.49936903798834,90.9375,,,Slow Growth,Undervalued,,,,,,,,
ApeX Protocol,Derivative exchanges,0.0,77.65862708719851,50.0,,,Strong Growth,Fairly Valued,,,,,,,,
Apeiron,Gaming,0.0,53.39869281045752,45.0,,,Steady Growth,Fairly Valued,,,,,,,,
Aperture,Exchanges (DEX),0.0,30.454545454545457,,,,Slow Growth,,,,,,,,,
ApolloX,Derivative exchanges,37.940421981877215,77.00079169598875,60.36458333333333,,,Strong Growth,Fairly Valued,,,,,,,,
Aptin Finance,Lending,0.0,,,,,,,,,,,,,,
AptoSwap,Exchanges (DEX),0.0,,,,,,,,,,,,,,
Aptos,Blockchains (L1),43.49478334281707,74.57650162337663,55.43990384615385,94.28,,Strong Growth,Fairly Valued,AAA,,,,,,apt,"{""name"": ""Aptos"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 43.49478334281707}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}, {""name"": ""Celo"", ""scores"": {""earnings_quality"": 35.305556571473666}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}"
Aragon,Infrastructure,0.0,11.789050337311885,46.78571428571429,,,Stagnant/Declining,Fairly Valued,,,,,,,,
Arbitrum,Blockchains (L2),64.9549137112815,96.30346290771791,70.41071428571428,94.3,,Exceptional Growth,Undervalued,AAA,,,,,,,"{""name"": ""Arbitrum"", ""sector"": ""Blockchains (L2)"", ""scores"": {""earnings_quality"": 64.9549137112815}, ""peers"": [{""name"": ""Gravity"", ""scores"": {""earnings_quality"": 33.303054003849226}}, {""name"": ""Immutable X"", ""scores"": {""earnings_quality"": 62.73696331707027}}, {""name"": ""zkSync"", ""scores"": {""earnings_quality"": 37.3280384228913}}, {""name"": ""Arbitrum One"", ""scores"": {""earnings_quality"": 64.9549137112815}}], ""sector_averages"": {""earnings_quality"": 5.67, ""count"": 84}}"
Arbitrum Bridge,Bridges,0.0,97.40259740259742,,,,Exceptional Growth,,,,,,,,,
Arbitrum Nova,Blockchains (L2),0.0,,,,,,,,,,,,,,
Arbitrum One,Blockchains (L2),64.9549137112815,96.30346290771791,70.41071428571428,,,Exceptional Growth,Undervalued,,,,,,,,
Archblock,Stablecoin issuers,0.0,,,,,,,,,,,,,,
Argent,Infrastructure,0.0,,,,,,,,,,,,,,
Aries Markets,Lending,0.0,,,,,,,,,,,,,,
Arkham,Infrastructure,0.0,80.31882459782044,45.99999999999999,85.6,,Exceptional Growth,Fairly Valued,A,,,,,,,
Arrakis Finance,Asset management,0.0,,,,,,,,,,,,,,
Arrow Markets,Derivative exchanges,0.0,29.333951762523192,50.0,,,Slow Growth,Fairly Valued,,,,,,,,
Arweave,Blockchains (L1),0.0,50.45454545454545,60.0,74.13,,Steady Growth,Fairly Valued,BBB,,,,,,,
Aspect,NFT marketplaces,0.0,,,,,,,,,,,,,,
Astar,Blockchains (L2),0.0,48.94308943089431,,86.81,,Steady Growth,,AA,,,,,,,
Astar zkEVM,Blockchains (L2),0.0,,,,,,,,,,,,,,
Astherus,,,,,68.94,,,,BB,,,,,,,
Astroport,Exchanges (DEX),0.0,30.6896551724138,,,,Slow Growth,,,,,,,,,
Aura Finance,Asset management,46.983308486486656,65.0293255131965,74.49404761904762,,,Strong Growth,Undervalued,,,,,,,,
Aurora,Blockchains (L2),0.0,47.61825131390349,50.0,,,Steady Growth,Fairly Valued,,,,,,,,
Avalanche,Blockchains (L1),39.96282983690581,63.59943977591037,61.80288461538461,94.12,,Steady Growth,Fairly Valued,AAA,,,,,,avax,"{""name"": ""Avalanche"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 39.96282983690581}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}, {""name"": ""Celo"", ""scores"": {""earnings_quality"": 35.305556571473666}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}"
Avalon Finance,Lending,0.0,72.38304093567251,45.0,,,Strong Growth,Fairly Valued,,,,,,,,
Avantis,Exchanges (DEX),0.0,,,,,,,,,,,,,,
Aventus,Blockchains (L2),0.0,31.452460582895373,45.0,,,Slow Growth,Fairly Valued,,,,,,,,
Axelar Network,Interoperability,0.0,100.0,,92.36,,Exceptional Growth,,AA,,,,,,,
Axie Infinity,Gaming,0.0,94.11764705882352,80.00000000000001,85.55,,Exceptional Growth,Undervalued,A,,,,,,,
Axiom,Infrastructure,0.0,,,,,,,,,,,,,,
Azuro,Prediction markets,0.0,65.46875,55.0,,,Strong Growth,Fairly Valued,,,,,,,,
B.Protocol,Infrastructure,0.0,,,,,,,,,,,,,,
B3,Blockchains (L3),0.0,70.0,55.0,,,Strong Growth,Fairly Valued,,,,,,,,
BENQI Liquid Staked AVAX,Lending,40.20428212006127,70.427022417154,60.67187500000001,79.85,,Strong Growth,Fairly Valued,A,,,,,,,
BENQI Liquid Staked AVAX,,,,,79.85,,,,A,,,,,,,
BENQI Liquid Staking,Liquid staking,0.0,57.5,,,,Steady Growth,,,,,,,,,
BMX,Derivative exchanges,44.40244942680416,65.88605975305484,83.2936507936508,,,Strong Growth,Undervalued,,,,,,,,
BNB Chain,Blockchains (L1),48.5009231754041,94.40882034632034,67.66666666666667,94.69,,Exceptional Growth,Fairly Valued,AAA,,,,,,,"{""name"": ""BNB Chain"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 48.5009231754041}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""Celo"", ""scores"": {""earnings_quality"": 35.305556571473666}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}"
BNB48 Club Token,,,,,66.67,,,,BB,,,,,,,
BOB,Blockchains (L2),0.0,65.438443670151,,,,Strong Growth,,,,,,,,,
BSX Exchange,Derivative exchanges,0.0,,,,,,,,,,,,,,
Baby Doge,,,,,81.19,,,,A,,,,,,,
Baby Shark Universe,Gaming,0.0,,,,,,,,,,,,,,
BadgerDAO,Asset management,0.0,90.1466275659824,57.5,,,Exceptional Growth,Fairly Valued,,,,,,,,
Bahamut,,,,,86.73,,,,AA,,,,,,,
Baki Exchange,Exchanges (DEX),0.0,,,,,,,,,,,,,,
Balancer,Exchanges (DEX),49.78915794019274,72.5522044696127,61.92897727272727,,,Strong Growth,Fairly Valued,,,,,,,,
Banana Gun,Infrastructure,0.0,69.36267514270888,50.0,,,Strong Growth,Fairly Valued,,,,,,,,
Bancor,Exchanges (DEX),33.46962471598141,44.69622181211448,45.49431818181819,,,Slow Growth,Fairly Valued,,,,,,,,
Band Protocol,,,,,90.28,,,,AA,,,,,,,
Barnbridge,Asset management,0.0,73.66568914956012,57.5,,,Strong Growth,Fairly Valued,,,,,,,,
Baryon,Exchanges (DEX),0.0,,,,,,,,,,,,,,
BasePaint,NFT marketplaces,0.0,,,,,,,,,,,,,,
BaseSwap,Exchanges (DEX),0.0,40.728958101594365,55.0,,,Slow Growth,Fairly Valued,,,,,,,,
Baseline,Infrastructure,0.0,,,,,,,,,,,,,,
Basic Attention Token,,,,,91.37,,,,AA,,,,,,,
Beacon ETH,,,,,84.26,,,,A,,,,,,,
Beam,Blockchains (L1),0.0,58.181818181818194,50.0,84.48,,Steady Growth,Fairly Valued,A,,,,,,,
Bedrock,Liquid staking,0.0,,,,,,,,,,,,,,
Beefy,Asset management,0.0,59.68914956011732,45.0,,,Steady Growth,Fairly Valued,,,,,,,,
Beets,Exchanges (DEX),24.74094562402632,41.18094178717094,40.73106060606061,,,Slow Growth,Fairly Valued,,,,,,,,
Beldex,,,,,70.37,,,,BB,,,,,,,
BendDAO,Lending,0.0,37.61208576998051,89.5,,,Slow Growth,Undervalued,,,,,,,,
Berachain,Blockchains (L1),0.0,53.580627705627705,45.0,87.93,,Steady Growth,Fairly Valued,AA,,,,,,,
BetSwirl,Prediction markets,0.0,31.718750000000004,77.77777777777779,,,Slow Growth,Undervalued,,,,,,,,
Biconomy,Infrastructure,0.0,57.13090295796575,50.0,,,Steady Growth,Fairly Valued,,,,,,,,
Bifrost,Blockchains (L2),0.0,53.28021499406516,,,,Steady Growth,,,,,,,,,
Big Time,,,,,83.2,,,,A,,,,,,,
Binance Staked SOL,,,,,70.71,,,,BB,,,,,,,
Biswap,Exchanges (DEX),28.737180739732462,66.92248015471738,45.83806818181819,,,Strong Growth,Fairly Valued,,,,,,,,
BitDAO,Asset management,0.0,51.94721407624634,55.0,,,Steady Growth,Fairly Valued,,,,,,,,
BitTorrent,,,,,83.5,,,,A,,,,,,,
Bitcoin,Blockchains (L1),0.0,73.61458333333334,53.148387096774194,96.87,,Strong Growth,Fairly Valued,AAA,,,,,,,
Bitcoin Avalanche Bridged,,,,,65.53,,,,BB,,,,,,,
Bitcoin BEP2,,,,,78.44,,,,BBB,,,,,,,
Bitcoin Cash,,,,,75.38,,,,BBB,,,,,,,
Bitcoin SV,,,,,71.66,,,,BBB,,,,,,,
Bitcoin Virtual Machine,,,,,79.34,,,,A,,,,,,,
Bitget Token,,,,,86.26,,,,A,,,,,,,
Bitkub,,,,,68.27,,,,BB,,,,,,,
Bittensor,Blockchains (L1),0.0,55.0,,74.18,,Steady Growth,,BBB,,,,,,,
Bitwise (ETHW),Asset management,0.0,,,,,,,,,,,,,,
Black Panther,Asset management,0.0,25.15151515151516,,,,Slow Growth,,,,,,,,,
BlackRock (BUIDL),Asset management,0.0,,,,,,,,,,,,,,
Blackbird,Social,0.0,,,,,,,,,,,,,,
BladeSwap,Exchanges (DEX),0.0,28.87300704486467,50.0,,,Slow Growth,Fairly Valued,,,,,,,,
Blast,Blockchains (L2),30.36496380874365,77.59650708517357,65.02747252747253,,,Strong Growth,Fairly Valued,,,,,,,,
Blast Bridge,Bridges,0.0,55.90445269016698,,,,Steady Growth,,,,,,,,,
BlazeStake,,,,,72.76,,,,BBB,,,,,,,
Blitz,Blockchains (L1),0.0,,,,,,,,,,,,,,
Bluefin,Derivative exchanges,0.0,73.46938775510205,,,,Strong Growth,,,,,,,,,
Blur,NFT marketplaces,0.0,88.75000000000001,88.75000000000001,88.08,,Exceptional Growth,Undervalued,AA,,,,,,,
Boba Network,Blockchains (L2),0.0,57.88461538461539,,,,Steady Growth,,,,,,,,,
Bonk,,,,,85.68,,,,A,,,,,,,
BoomLand,Gaming,0.0,,,,,,,,,,,,,,
Botto,NFT marketplaces,0.0,42.5,50.0,,,Slow Growth,Fairly Valued,,,,,,,,
Bounce Finance,Infrastructure,0.0,53.94864951689031,48.61111111111112,,,Steady Growth,Fairly Valued,,,,,,,,
BounceBit,Blockchains (L1),0.0,35.75757575757576,,,,Slow Growth,,,,,,,,,
Brave,Infrastructure,0.0,74.00655163466527,55.0,,,Strong Growth,Fairly Valued,,,,,,,,
Brett,,,,,79.19,,,,A,,,,,,,
Bucket Protocol,Lending,0.0,,,,,,,,,,,,,,
Buffer Finance,Derivative exchanges,0.0,35.486053355511494,40.22222222222222,,,Slow Growth,Fairly Valued,,,,,,,,
Bungee,Bridges,0.0,,,,,,,,,,,,,,
Burrow,Lending,0.0,,,,,,,,,,,,,,
CORE Staking,,,,,69.71,,,,BB,,,,,,,
COTI,Blockchains (L2),0.0,86.53846153846155,,90.22,,Exceptional Growth,,AA,,,,,,,
Camelot,Exchanges (DEX),37.0107715941185,67.31728435635556,65.87337662337663,,,Strong Growth,Fairly Valued,,,,,,,,
Cap,Derivative exchanges,,33.142303355511494,67.5,,,Slow Growth,Fairly Valued,,,,,,,,
Cardano,Blockchains (L1),0.0,90.9090909090909,44.48356079404466,89.2,,Exceptional Growth,Fairly Valued,AA,,,,,,,
Carv,Infrastructure,0.0,59.01238972496108,55.0,,,Steady Growth,Fairly Valued,,,,,,,,
Casper,,,,,81.17,,,,A,,,,,,,
Cat Town,Gaming,0.0,45.010893246187365,52.0,,,Steady Growth,Fairly Valued,,,,,,,,
Catalyst,Bridges,0.0,,,,,,,,,,,,,,
Celer Network,Infrastructure,0.0,56.10923715620135,50.0,,,Steady Growth,Fairly Valued,,,,,,,,
Celestia,Blockchains (L1),0.0,53.86363636363636,,79.94,,Steady Growth,,A,,,,,,,
Cellana Finance,Exchanges (DEX),0.0,34.13793103448276,,,,Slow Growth,,,,,,,,,
Celo,Blockchains (L1),35.305556571473666,56.73683261183261,72.05833333333334,78.76,,Steady Growth,Undervalued,BBB,,,,,,,"{""name"": ""Celo"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 35.305556571473666}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}"
Celo Dollar,Stablecoin issuers,0.0,,,,,,,,,,,,,,
Centrifuge,Blockchains (L2),0.0,28.965898232202576,50.0,,,Slow Growth,Fairly Valued,,,,,,,,
Cetus,Exchanges (DEX),0.0,80.45977011494253,,,,Exceptional Growth,,,,,,,,,
Chainlink,Infrastructure,26.85214894352868,85.72299651567945,30.937500000000004,92.06,,Exceptional Growth,Overvalued,AA,,,,,,,"{""name"": ""Chainlink"", ""sector"": ""Infrastructure"", ""scores"": {""earnings_quality"": 26.85214894352868}, ""peers"": [{""name"": ""Helium"", ""scores"": {""earnings_quality"": 53.575124466986615}}, {""name"": ""Layer3"", ""scores"": {""earnings_quality"": 46.27089996011394}}, {""name"": ""Tornado Cash"", ""scores"": {""earnings_quality"": 40.6421287830892}}, {""name"": ""Zerion"", ""scores"": {""earnings_quality"": 35.11925409569828}}], ""sector_averages"": {""earnings_quality"": 2.39, ""count"": 97}}"
Cheelee,,,,,89.6,,,,AA,,,,,,,
Cheems (cheems.pet),,,,,74.5,,,,BBB,,,,,,,
Chia,,,,,74.04,,,,BBB,,,,,,,
Chiliz,Blockchains (L1),0.0,51.59090909090909,,89.11,,Steady Growth,,AA,,,,,,,
Chingari,Social,0.0,50.83333333333333,,,,Steady Growth,,,,,,,,,
Chintai,,,,,83.15,,,,A,,,,,,,
Circle,Stablecoin issuers,76.87753988671372,,,87.25,,,,AA,,,,,,,
Clave,Infrastructure,0.0,,,,,,,,,,,,,,
Clipper,Exchanges (DEX),40.82579379600983,41.87784406916776,54.02698863636364,,,Slow Growth,Fairly Valued,,,,,,,,
Clique,Infrastructure,0.0,,,,,,,,,,,,,,
CoW DAO,Exchanges (DEX),0.0,69.21655901338188,32.22222222222222,85.35,,Strong Growth,Overvalued,A,,,,,,,
CoW DAO,,,,,85.35,,,,A,,,,,,,
Coin98,Exchanges (CEX),0.0,,,,,,,,,,,,,,
Coinally,Infrastructure,0.0,,,,,,,,,,,,,,
Coinbase Wrapped Staked ETH,Blockchains (L2),64.80864859965831,100.0,,83.04,,Exceptional Growth,,A,,,,,,,
Coinbase Wrapped Staked ETH,Liquid staking,0.0,,,83.04,,,,A,,,,,,,
Coinbase Wrapped Staked Ether,Liquid staking,0.0,,,,,,,,,,,,,,
Coinshift,Stablecoin issuers,0.0,,,,,,,,,,,,,,
Colony,Infrastructure,0.0,27.851907109496626,50.0,,,Slow Growth,Fairly Valued,,,,,,,,
Compound,Lending,32.43084976560476,79.99756335282652,42.69531250000001,91.56,,Strong Growth,Fairly Valued,AA,,,,,,,"{""name"": ""Compound"", ""sector"": ""Lending"", ""scores"": {""earnings_quality"": 32.43084976560476}, ""peers"": [{""name"": ""Aave"", ""scores"": {""earnings_quality"": 62.67057362728197}}, {""name"": ""Maple Finance"", ""scores"": {""earnings_quality"": 54.32192715059285}}, {""name"": ""Vechain"", ""scores"": {""earnings_quality"": 62.67057362728197}}, {""name"": ""Venus USDT"", ""scores"": {""earnings_quality"": 58.729369995647765}}], ""sector_averages"": {""earnings_quality"": 8.52, ""count"": 62}}"
Conflux Core Space,Blockchains (L1),0.0,36.4983164983165,5.681818181818182,,,Slow Growth,Overvalued,,,,,,,,
Conflux Network,Blockchains (L1),0.0,36.4983164983165,5.681818181818182,82.88,,Slow Growth,Overvalued,A,,,,,,,
Constellation,,,,,80.81,,,,A,,,,,,,
Convex Finance,Asset management,52.4706371470804,94.95356793743892,62.767857142857146,85.76,,Exceptional Growth,Fairly Valued,A,,,,,,cvx,"{""name"": ""Convex Finance"", ""sector"": ""Asset management"", ""scores"": {""earnings_quality"": 52.4706371470804}, ""peers"": [{""name"": ""Aura Finance"", ""scores"": {""earnings_quality"": 46.983308486486656}}, {""name"": ""Index Cooperative"", ""scores"": {""earnings_quality"": 41.69345088455628}}, {""name"": ""Ribbon Finance"", ""scores"": {""earnings_quality"": 40.50989099012236}}, {""name"": ""Tokemak"", ""scores"": {""earnings_quality"": 37.32349428436831}}], ""sector_averages"": {""earnings_quality"": 4.43, ""count"": 57}}"
Core DAO,,,,,89.14,,,,AA,,,,,,,
Coreum,Blockchains (L1),0.0,15.151515151515154,,,,Stagnant/Declining,,,,,,,,,
Cosmos,Blockchains (L1),26.157892238239448,55.0,36.34943181818181,94.25,,Steady Growth,Overvalued,AAA,,,,,,,"{""name"": ""Cosmos"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 26.157892238239448}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}"
Cosmos Hub,Blockchains (L1),26.157892238239448,55.0,36.34943181818181,,,Steady Growth,Overvalued,,,,,,,,
Creditcoin,,,,,89.74,,,,AA,,,,,,,
Cronos,Blockchains (L1),0.0,58.11447811447811,75.9805718475073,92.41,,Steady Growth,Undervalued,AA,,,,,,,
Crust Network,Blockchains (L2),0.0,47.42116579073102,50.0,,,Steady Growth,Fairly Valued,,,,,,,,
Cryptex,Asset management,11.430996091177656,59.46396933040078,25.17857142857143,,,Steady Growth,Overvalued,,,,,,,,
Curve DAO Token,,,,,89.29,,,,AA,,,,,,,"{""name"": ""Curve DAO Token"", ""sector"": ""Exchanges (DEX)"", ""scores"": {""earnings_quality"": 56.84522301549867}, ""peers"": [{""name"": ""Aerodrome Finance"", ""scores"": {""earnings_quality"": 60.788622351381406}}, {""name"": ""Ethena"", ""scores"": {""earnings_quality"": 57.15610750876476}}, {""name"": ""PancakeSwap"", ""scores"": {""earnings_quality"": 20.610528563344047}}, {""name"": ""Sushiswap"", ""scores"": {""earnings_quality"": 47.83216668659891}}], ""sector_averages"": {""earnings_quality"": 8.69, ""count"": 136}}"
Curve DAO Token,Exchanges (DEX),56.84522301549867,80.46152922439074,50.34801136363637,89.29,,Exceptional Growth,Fairly Valued,AA,,,,,,,"{""name"": ""Curve DAO Token"", ""sector"": ""Exchanges (DEX)"", ""scores"": {""earnings_quality"": 56.84522301549867}, ""peers"": [{""name"": ""Aerodrome Finance"", ""scores"": {""earnings_quality"": 60.788622351381406}}, {""name"": ""Ethena"", ""scores"": {""earnings_quality"": 57.15610750876476}}, {""name"": ""PancakeSwap"", ""scores"": {""earnings_quality"": 20.610528563344047}}, {""name"": ""Sushiswap"", ""scores"": {""earnings_quality"": 47.83216668659891}}], ""sector_averages"": {""earnings_quality"": 8.69, ""count"": 136}}"
Curve Stablecoin,,,,,82.46,,,,A,,,,,,,
Cygnus Finance,Infrastructure,0.0,,,,,,,,,,,,,,
DFX Finance,Exchanges (DEX),0.0,13.774985674318266,19.375,,,Stagnant/Declining,Overvalued,,,,,,,,
DIN (ex Web3Go),Infrastructure,0.0,,,,,,,,,,,,,,
DODO,Exchanges (DEX),47.69027388994144,70.11326768800352,48.14630681818182,,,Strong Growth,Fairly Valued,,,,,,,,
DOG,Blockchains (L1),0.0,93.93939393939394,31.92082111436949,57.47,,Exceptional Growth,Overvalued,B,,,,,,,
DOG•GO•TO•THE•MOON,,,,,49.86,,,,CC,,,,,,,
DYORSWAP,Exchanges (DEX),0.0,,,,,,,,,,,,,,
Dai,,,,,87.34,,,,AA,,,,,,,
Dai,Infrastructure,0.0,45.902309289050336,50.0,87.34,,Steady Growth,Fairly Valued,AA,,,,,,,
Darwinia Network,Blockchains (L2),0.0,38.50515437637654,50.0,,,Slow Growth,Fairly Valued,,,,,,,,
Dash,,,,,74.48,,,,BBB,,,,,,,
DeDust,Exchanges (DEX),0.0,,,,,,,,,,,,,,
DeFi Saver,Infrastructure,1.949331594535597,,,,,,,,,,,,,,
DeGate,Exchanges (DEX),0.0,32.55320726733408,45.0,,,Slow Growth,Fairly Valued,,,,,,,,
DeSo,Blockchains (L1),0.0,25.151515151515152,60.0,,,Slow Growth,Fairly Valued,,,,,,,,
DeXe Protocol,,,,,85.74,,,,A,,,,,,,
Decentral Games,Gaming,0.0,32.4400871459695,52.5,,,Slow Growth,Fairly Valued,,,,,,,,
