Project,Market Sector,User Growth Score,Growth Category
TON,Blockchains (L1),68.9659090909091,Strong Growth
Immutable,Blockchains (L2),90.02038225560229,Exceptional Growth
ApolloX,Derivative exchanges,77.00079169598875,Strong Growth
Aura Finance,Asset management,65.0293255131965,Strong Growth
DeFi Saver,Infrastructure,,
Frax Ether,Liquid staking,36.66666666666667,Slow Growth
Camelot,Exchanges (DEX),67.31728435635556,Strong Growth
Avalanche,Blockchains (L1),63.59943977591037,Steady Growth
Layer3,Infrastructure,75.34213062495367,Strong Growth
Merkle Trade,Derivative exchanges,52.532421835729366,Steady Growth
KyberSwap,Exchanges (DEX),76.79375442410759,Strong Growth
Polygon,Blockchains (L1),72.31752795815297,Strong Growth
BENQI,Lending,70.427022417154,Strong Growth
deBridge DLN,Bridges,28.571428571428573,Slow Growth
StakeStone,Liquid staking,62.5,Steady Growth
NEAR Protocol,Blockchains (L1),34.00568181818182,Slow Growth
Houdini Swap,Exchanges (DEX),40.2825361512792,Slow Growth
Katana,Exchanges (DEX),75.0,Strong Growth
Origin Protocol,Stablecoin issuers,71.47321428571428,Strong Growth
DODO,Exchanges (DEX),70.11326768800352,Strong Growth
HMX,Derivative exchanges,45.89105783379183,Steady Growth
Cardano,Blockchains (L1),90.9090909090909,Exceptional Growth
BMX,Derivative exchanges,65.88605975305484,Strong Growth
Pendle,Derivative exchanges,94.40474857654661,Exceptional Growth
Sonic,Blockchains (L1),60.70600967659791,Steady Growth
Manifold.xyz,NFT marketplaces,,
Allbridge Core,Bridges,65.22727272727272,Strong Growth
Helium,Infrastructure,51.01063829787234,Steady Growth
Tokemak,Asset management,60.27126099706746,Steady Growth
BendDAO,Lending,37.61208576998051,Slow Growth
Gamma Strategies,Asset management,60.570931085043995,Steady Growth
Cronos,Blockchains (L1),58.11447811447811,Steady Growth
Synthetix,Derivative exchanges,80.07145256221611,Exceptional Growth
ZeroLend,Lending,57.25563909774437,Steady Growth
Tornado Cash,Infrastructure,54.8802728148862,Steady Growth
Injective,Blockchains (L1),64.14820473644002,Steady Growth
SyncSwap,Exchanges (DEX),43.06818181818181,Slow Growth
Stader,Liquid staking,44.74264705882353,Slow Growth
Gearbox,Lending,39.782529239766085,Slow Growth
Blur,NFT marketplaces,88.75000000000001,Exceptional Growth
Hegic,Derivative exchanges,56.719839581600674,Steady Growth
Dogecoin,Blockchains (L1),93.93939393939394,Exceptional Growth
Nexus Mutual,Insurance,,
Aptos,Blockchains (L1),74.57650162337663,Strong Growth
Liquity,Stablecoin issuers,65.0,Strong Growth
Thruster,Exchanges (DEX),45.255429012033574,Steady Growth
Filecoin,Blockchains (L1),64.0909090909091,Steady Growth
Bancor,Exchanges (DEX),44.69622181211448,Slow Growth
Goldfinch,Lending,39.736842105263165,Slow Growth
MUX,Derivative exchanges,54.74643736805068,Steady Growth
Biswap,Exchanges (DEX),66.92248015471738,Strong Growth
Kwenta,Derivative exchanges,50.46015330113237,Steady Growth
Thetanuts,Asset management,45.625,Steady Growth
Seamless Protocol,Lending,62.473806042885,Steady Growth
Gravity Alpha Mainnet,Blockchains (L2),81.36211567178466,Exceptional Growth
Ribbon Finance,Asset management,51.90134714076247,Steady Growth
Ronin,Blockchains (L1),54.890713861302096,Steady Growth
zkSync Era,Blockchains (L2),76.67636131763253,Strong Growth
Blast,Blockchains (L2),77.59650708517357,Strong Growth
Livepeer,Infrastructure,85.63829787234042,Exceptional Growth
Celo,Blockchains (L1),56.73683261183261,Steady Growth
Pangolin,Exchanges (DEX),56.60579305288705,Steady Growth
MultiversX,Blockchains (L1),52.53787878787879,Steady Growth
Litecoin,Blockchains (L1),84.84848484848484,Exceptional Growth
Ramses Exchange,Exchanges (DEX),44.565305094886575,Slow Growth
deBridge,Interoperability,0.0,Stagnant/Declining
Polkadot,Blockchains (L1),43.33908279220779,Slow Growth
Stargate,Bridges,53.22646103896104,Steady Growth
Stellar,Blockchains (L1),75.75757575757575,Strong Growth
Cosmos Hub,Blockchains (L1),55.0,Steady Growth
Integral,Exchanges (DEX),16.09936967000371,Stagnant/Declining
The Graph,Infrastructure,66.66858180739862,Strong Growth
Index Cooperative,Asset management,60.26484604105573,Steady Growth
Synapse,Bridges,37.82771915584416,Slow Growth
Algorand,Blockchains (L1),57.272727272727266,Steady Growth
Ink,Blockchains (L2),85.55942702284166,Exceptional Growth
Abracadabra.money,Stablecoin issuers,83.48214285714286,Exceptional Growth
Maverick Protocol,Exchanges (DEX),65.4337837496208,Strong Growth
Manta,Blockchains (L2),63.147381515621184,Steady Growth
ApeSwap,Exchanges (DEX),38.49936903798834,Slow Growth
Beets,Exchanges (DEX),41.18094178717094,Slow Growth
Zcash,Blockchains (L1),62.95454545454546,Steady Growth
Holdstation,Derivative exchanges,70.3653597018745,Strong Growth
Starknet,Blockchains (L2),74.82779415706244,Strong Growth
Clipper,Exchanges (DEX),41.877844069167764,Slow Growth
Rarible,NFT marketplaces,65.625,Strong Growth
Chainlink,Infrastructure,85.72299651567945,Exceptional Growth
Radiant Capital,Lending,51.703216374269005,Steady Growth
Zerion,Infrastructure,77.77777777777779,Strong Growth
NFTX,NFT marketplaces,34.583333333333336,Slow Growth
Angle,Stablecoin issuers,49.52380952380952,Steady Growth
Hop Protocol,Bridges,79.54545454545455,Strong Growth
Perpetual Protocol,Derivative exchanges,70.24213701938456,Strong Growth
Fantom,Blockchains (L1),32.89152024446142,Slow Growth
Foundation,NFT marketplaces,55.0,Steady Growth
Equalizer Exchange,Exchanges (DEX),24.451758266761047,Stagnant/Declining
SpookySwap,Exchanges (DEX),48.97434965618364,Steady Growth
X2Y2,NFT marketplaces,40.9375,Slow Growth
Gnosis,Blockchains (L1),40.53518377047789,Slow Growth
OpenChat,Social,90.31746031746032,Exceptional Growth
IPOR Protocol,Derivative exchanges,39.93004686200499,Slow Growth
Verse,Exchanges (DEX),40.23071721104258,Slow Growth
Level Finance,Derivative exchanges,53.56381149638539,Steady Growth
Unichain,Blockchains (L2),77.58420441347272,Strong Growth
friend.tech,Social,48.4567901234568,Steady Growth
Kusama,Blockchains (L1),20.56198142135642,Stagnant/Declining
Tezos,Blockchains (L1),38.78787878787879,Slow Growth
1inch,Exchanges (DEX),87.7843015808811,Exceptional Growth
Axelar Network,Interoperability,99.99999999999999,Exceptional Growth
Reflexer,Stablecoin issuers,48.30357142857142,Steady Growth
Mean Finance,Exchanges (DEX),,
Sudoswap,NFT marketplaces,35.833333333333336,Slow Growth
Kleros,Infrastructure,29.23975090814738,Slow Growth
AirSwap,Exchanges (DEX),59.36675219941349,Steady Growth
Shoebill Finance,Lending,56.973684210526315,Steady Growth
Aperture,Exchanges (DEX),30.454545454545457,Slow Growth
Mina Protocol,Blockchains (L1),28.089225589225588,Slow Growth
Zyberswap,Exchanges (DEX),30.674507870698083,Slow Growth
Mummy Finance,Derivative exchanges,48.53448275862069,Steady Growth
Wombat Exchange,Exchanges (DEX),37.895894428152495,Slow Growth
Aleph Zero EVM,Blockchains (L2),59.28015077115355,Steady Growth
Conflux Core Space,Blockchains (L1),36.4983164983165,Slow Growth
Everclear,Bridges,40.05681818181817,Slow Growth
Zora,NFT marketplaces,80.0,Exceptional Growth
Cap,Derivative exchanges,33.142303355511494,Slow Growth
SolidLizard,Exchanges (DEX),20.327636768126204,Stagnant/Declining
Thales,Derivative exchanges,57.49369242210991,Steady Growth
Viction,Blockchains (L1),43.755411255411246,Slow Growth
Sound.xyz,NFT marketplaces,20.0,Stagnant/Declining
Cryptex,Asset management,59.46396933040078,Steady Growth
Polynomial Protocol,Derivative exchanges,45.94827586206897,Steady Growth
XAI,Blockchains (L3),85.00000000000001,Exceptional Growth
DFX Finance,Exchanges (DEX),13.774985674318266,Stagnant/Declining
Volmex,Derivative exchanges,45.94827586206897,Steady Growth
Deri Protocol,Derivative exchanges,45.48431402341501,Steady Growth
Karura,Blockchains (L1),6.0606060606060606,Stagnant/Declining
Pika Protocol,Derivative exchanges,30.003098810056944,Slow Growth
dYdX,Derivative exchanges,84.93506493506493,Exceptional Growth
Premia,Derivative exchanges,43.760056138442856,Slow Growth
Lighter,Exchanges (DEX),18.181818181818183,Stagnant/Declining
Osmosis,Exchanges (DEX),47.34885803851322,Steady Growth
Aragon,Infrastructure,11.789050337311883,Stagnant/Declining
Optimism Gateway,Bridges,75.9647495361781,Strong Growth
Pocket Network,Infrastructure,39.787234042553195,Slow Growth
Swarm,Infrastructure,41.41417698371513,Slow Growth
XOXNO,NFT marketplaces,20.0,Stagnant/Declining
IDEX,Exchanges (DEX),70.77011494252874,Strong Growth
TrueFi,Lending,43.94554093567252,Slow Growth
Toucan Protocol,Infrastructure,32.22222222222222,Slow Growth
Opyn,Derivative exchanges,48.63734326018809,Steady Growth
Alongside,Asset management,,
Ren,Bridges,45.454545454545446,Steady Growth
Notional Finance,Lending,17.975146198830412,Stagnant/Declining
CoW Protocol,Exchanges (DEX),69.21655901338188,Strong Growth
PoolTogether,Asset management,49.80014357282502,Steady Growth
Across,Bridges,42.44724025974026,Slow Growth
LooksRare,NFT marketplaces,57.81250000000001,Steady Growth
Metavault.Trade,Derivative exchanges,45.439671166272156,Steady Growth
zkSync Era Bridge,Bridges,59.07235621521336,Steady Growth
Lens Protocol,Social,0.0,Stagnant/Declining
Hashflow,Exchanges (DEX),55.768288418107666,Steady Growth
Voltz,Derivative exchanges,45.94827586206897,Steady Growth
KAP Games,Gaming,33.88888888888888,Slow Growth
0x,Exchanges (DEX),64.69035460275727,Steady Growth
Dopex,Derivative exchanges,41.589369682042104,Slow Growth
BetSwirl,Prediction markets,31.718750000000004,Slow Growth
Arbitrum Bridge,Bridges,97.40259740259742,Exceptional Growth
Buffer Finance,Derivative exchanges,35.486053355511494,Slow Growth
xExchange,Exchanges (DEX),41.63793103448276,Slow Growth
Polymarket,Prediction markets,100.0,Exceptional Growth
Bounce Finance,Infrastructure,53.94864951689031,Steady Growth
SX,Prediction markets,42.1875,Slow Growth
Axie Infinity,Gaming,94.11764705882351,Exceptional Growth
Vesta Finance,Stablecoin issuers,43.660714285714285,Slow Growth
Rhino.fi,Exchanges (DEX),6.8965517241379315,Stagnant/Declining
zkLend,Lending,41.621588693957115,Slow Growth
PayPal,Stablecoin issuers,,
ApeX Protocol,Derivative exchanges,77.65862708719851,Strong Growth
LI.FI,Infrastructure,,
peaq,Blockchains (L1),29.149477973007382,Slow Growth
Mereo,Social,,
DeGate,Exchanges (DEX),32.55320726733408,Slow Growth
Ocean Protocol,Infrastructure,39.72269071094966,Slow Growth
WELL3,Social,56.388888888888886,Steady Growth
VibrantX,Asset management,,
xNINJA,Social,0.0,Stagnant/Declining
Berachain,Blockchains (L1),53.580627705627705,Steady Growth
Zeitgeist,Blockchains (L2),17.00908412145346,Stagnant/Declining
M^0,Stablecoin issuers,,
XCAD Network,Social,40.277777777777764,Slow Growth
STON.fi,Exchanges (DEX),32.98850574712644,Slow Growth
TrueMarkets,Prediction markets,,
Typus Finance,Asset management,,
Hedera,Blockchains (L1),78.78787878787878,Strong Growth
Taiko,Blockchains (L2),58.54037267080746,Steady Growth
AlienX,Blockchains (L2),,
Movement,Blockchains (L1),89.39393939393939,Exceptional Growth
Ankr,Liquid staking,60.091911764705884,Steady Growth
ZKX,Derivative exchanges,20.890538033395178,Stagnant/Declining
RabbitHole,Gaming,,
KiloEx,Derivative exchanges,,
WOO,Exchanges (DEX),77.25509825732296,Strong Growth
SideShift,Infrastructure,15.204981837052411,Stagnant/Declining
Kadena,Blockchains (L1),31.21212121212121,Slow Growth
Metis,Blockchains (L2),66.53846153846155,Strong Growth
PRDT,Prediction markets,,
Hypr,Blockchains (L2),,
Star Atlas,Gaming,67.5,Strong Growth
B3,Blockchains (L3),70.0,Strong Growth
Dymension,Blockchains (L1),65.22727272727272,Strong Growth
Litentry,Blockchains (L2),22.55829354235372,Stagnant/Declining
Superform,Asset management,,
Neptune Finance,Lending,,
Photon,Derivative exchanges,,
Cat Town,Gaming,45.010893246187365,Steady Growth
AVNU,Exchanges (DEX),,
Venice,Infrastructure,60.16379086663207,Steady Growth
Pyth Network,Oracles,,
Succinct,Infrastructure,,
InterCrone Swap,Exchanges (DEX),,
Lagoon,Asset management,,
Scallop,Lending,55.0,Steady Growth
ABEL Finance,Lending,45.13157894736842,Steady Growth
Econia,Exchanges (DEX),,
Ethervista,Exchanges (DEX),58.962736373748605,Steady Growth
Overtake,Gaming,,
inkySwap,Exchanges (DEX),,
Solayer,Liquid staking,100.0,Exceptional Growth
Astar,Blockchains (L2),48.94308943089431,Steady Growth
Render Network,Infrastructure,91.69693824597819,Exceptional Growth
Hedgey Finance,Infrastructure,,
zkMe,Infrastructure,,
Banana Gun,Infrastructure,69.36267514270888,Strong Growth
Ethereum Attestation Service,Infrastructure,,
Derivio,Derivative exchanges,,
Sophon,Blockchains (L2),,
Layerswap,Bridges,,
FlowX Finance,Exchanges (DEX),26.091954022988507,Slow Growth
Coinally,Infrastructure,,
LUKSO,Blockchains (L1),9.090909090909092,Stagnant/Declining
Echelon Prime Foundation,Infrastructure,61.07161390762844,Steady Growth
Energy Web X,Blockchains (L2),48.943599954052914,Steady Growth
Infrared Finance,Liquid staking,,
StarryNift,Gaming,81.2636165577342,Exceptional Growth
Pixels,Gaming,64.77124183006535,Steady Growth
Global Dollar Network,Stablecoin issuers,,
Metropolis,Exchanges (DEX),62.721542454579165,Steady Growth
Burrow,Lending,,
Hinkal Protocol,Bridges,,
unshETH,Asset management,5.225806451612904,Stagnant/Declining
Sellix,Infrastructure,,
Time.fun,Social,,
Raydium,Exchanges (DEX),94.25287356321839,Exceptional Growth
Orderly Network,Derivative exchanges,80.76066790352505,Exceptional Growth
Efi Hub,Gaming,,
Metal,Blockchains (L2),54.435618729096994,Steady Growth
ICHI,Asset management,25.12609970674487,Slow Growth
HunnyFinance,Asset management,27.239002932551323,Slow Growth
Robonomics Network,Blockchains (L2),45.459268991877686,Steady Growth
WhiteSwap,Exchanges (DEX),,
Avalon Finance,Lending,72.38304093567251,Strong Growth
Orca,Exchanges (DEX),93.10344827586206,Exceptional Growth
iZUMi Finance,Exchanges (DEX),50.94994438264739,Steady Growth
Nibiru,Blockchains (L1),18.181818181818183,Stagnant/Declining
ReactorFusion,Lending,23.391812865497077,Stagnant/Declining
Mint Club,Infrastructure,,
Kodiak Finance,Exchanges (DEX),,
Beam,Blockchains (L1),58.181818181818194,Steady Growth
Mountain Protocol,Stablecoin issuers,,
PlayEmber,Gaming,,
Mansa Finance,Lending,,
Amnis Finance,Liquid staking,,
Eclipse,Blockchains (L2),,
Mole,Asset management,,
Hyperbridge,Blockchains (L2),19.98354626403407,Stagnant/Declining
Ondo Finance,Asset management,100.0,Exceptional Growth
Levana,Derivative exchanges,75.51020408163265,Strong Growth
Shuffle,Prediction markets,80.83333333333334,Exceptional Growth
Shadow,Exchanges (DEX),72.51279199110122,Strong Growth
Arbitrum Nova,Blockchains (L2),,
Agora,Stablecoin issuers,,
Zyfi,Infrastructure,,
Trojan,Infrastructure,,
Spark Protocol,Lending,45.13157894736841,Steady Growth
Scroll,Blockchains (L2),65.94895087490904,Strong Growth
Gemini,Stablecoin issuers,,
Alkimi Exchange,Infrastructure,37.23566424494032,Slow Growth
BitDAO,Asset management,51.94721407624634,Steady Growth
Moonbeam,Blockchains (L2),63.06155952061874,Steady Growth
Coin98,Exchanges (CEX),,
Wild Forest,Gaming,,
XPLA,Blockchains (L1),28.699494949494948,Slow Growth
Fableborne,Gaming,,
Kana,Exchanges (DEX),,
PACT,Lending,23.045808966861596,Stagnant/Declining
Silo Finance,Lending,45.29605263157895,Steady Growth
Frax Stablecoin,Stablecoin issuers,,
Polkadex,Blockchains (L2),22.35264735264735,Stagnant/Declining
Blitz,Blockchains (L1),,
Rubic,Infrastructure,31.52698495070057,Slow Growth
UniDex,Derivative exchanges,28.181818181818183,Slow Growth
Ninja Blaze,Gaming,,
Mito Finance,Asset management,,
WigoSwap,Infrastructure,48.59756097560975,Steady Growth
REVOX (ex ReadON),Social,,
Rebalance,Asset management,,
Glo Dollar,Stablecoin issuers,,
Evmos,Blockchains (L1),26.666666666666664,Slow Growth
Baki Exchange,Exchanges (DEX),,
Argent,Infrastructure,,
Fuul Protocol,Infrastructure,,
XGamble,Prediction markets,,
Talent Protocol,Social,59.16666666666666,Steady Growth
Nillion,Blockchains (L1),81.81818181818183,Exceptional Growth
Decentral Games,Gaming,32.4400871459695,Slow Growth
Extra Finance,Lending,48.03728070175438,Steady Growth
Ubeswap,Exchanges (DEX),36.26251390433816,Slow Growth
vfat.io,Asset management,,
Hyperliquid,Derivative exchanges,100.0,Exceptional Growth
SPACE ID,Infrastructure,71.54482355993773,Strong Growth
Coinbase Wrapped Staked Ether,Liquid staking,,
SingSing,Social,,
Clave,Infrastructure,,
Ref Finance,Exchanges (DEX),43.362068965517246,Slow Growth
Lisk,Blockchains (L2),57.4295269947444,Steady Growth
Symbiosis,Exchanges (DEX),56.37819799777531,Steady Growth
Astar zkEVM,Blockchains (L2),,
Shrapnel,Gaming,57.04248366013072,Steady Growth
Spin,Derivative exchanges,,
QuestN,Infrastructure,,
Hydration,Blockchains (L2),47.478246927288744,Steady Growth
HYCHAIN,Blockchains (L2),36.92307692307692,Slow Growth
Lifinity,Exchanges (DEX),36.43678160919541,Slow Growth
Chingari,Social,50.83333333333333,Steady Growth
Bittensor,Blockchains (L1),55.0,Steady Growth
Merlin Chain,Blockchains (L2),69.42307692307692,Strong Growth
Membrane Finance,Stablecoin issuers,,
Stride,Liquid staking,33.529411764705884,Slow Growth
Arrow Markets,Derivative exchanges,29.333951762523192,Slow Growth
DojoSwap,Exchanges (DEX),20.344827586206897,Stagnant/Declining
zkDX,Derivative exchanges,26.82235621521336,Slow Growth
KlimaDAO,Infrastructure,36.073884276076804,Slow Growth
Turbos Finance,Exchanges (DEX),53.706896551724135,Steady Growth
Brave,Infrastructure,74.00655163466527,Strong Growth
Invarch,Blockchains (L2),28.96631823461092,Slow Growth
Sofamon,Social,,
Level,Stablecoin issuers,,
Renzo,Liquid staking,73.07843137254903,Strong Growth
Azuro,Prediction markets,65.46875,Strong Growth
SKALE,Blockchains (L1),34.015151515151516,Slow Growth
briq,Infrastructure,,
DeSo,Blockchains (L1),25.151515151515152,Slow Growth
Hook,Blockchains (L3),,
SuperSwap,Exchanges (DEX),,
defi.money,Stablecoin issuers,,
Fren Pet,Gaming,50.1797385620915,Steady Growth
NinjaVault,Asset management,,
Eigenpie,Liquid staking,,
Mantle,Blockchains (L2),89.472049689441,Exceptional Growth
Valeria Games,Gaming,,
Swell,Liquid staking,38.36397058823529,Slow Growth
ERA Name Service,Infrastructure,16.722560975609756,Stagnant/Declining
Marinade,Liquid staking,65.11764705882352,Strong Growth
Alien Base,Exchanges (DEX),53.53281423804228,Steady Growth
Element,NFT marketplaces,,
Kroma Network,Blockchains (L2),,
Suilend,Lending,,
BaseSwap,Exchanges (DEX),40.728958101594365,Slow Growth
SwapX,Exchanges (DEX),49.2035595105673,Steady Growth
Ionic Protocol,Lending,38.94736842105263,Slow Growth
Yield Guild Games,Gaming,79.79847494553377,Strong Growth
Primex Finance,Exchanges (DEX),,
Baryon,Exchanges (DEX),,
Bucket Protocol,Lending,,
OpenOcean,Exchanges (DEX),49.75973303670746,Steady Growth
Aurora,Blockchains (L2),47.61825131390349,Steady Growth
Meta Pool DAO,Liquid staking,11.76470588235294,Stagnant/Declining
Odos,Exchanges (DEX),,
Kine Protocol,Derivative exchanges,44.65445269016698,Slow Growth
Hooked Protocol,Social,81.48148148148148,Exceptional Growth
Openbook,Exchanges (DEX),,
ZKEX,Exchanges (DEX),,
Magic Eden,NFT marketplaces,100.0,Exceptional Growth
Sei Network,Blockchains (L1),56.13636363636363,Steady Growth
Ether.fi,Liquid staking,68.38848039215686,Strong Growth
COTI,Blockchains (L2),86.53846153846155,Exceptional Growth
Panora Exchange,Exchanges (DEX),,
Carv,Infrastructure,59.012389724961075,Steady Growth
Numerai,Asset management,88.36754643206255,Exceptional Growth
API3,Infrastructure,84.19142449403218,Exceptional Growth
Reya,Blockchains (L2),,
BadgerDAO,Asset management,90.14662756598241,Exceptional Growth
zkSwap Finance,Exchanges (DEX),48.15270935960592,Steady Growth
Nodle,Blockchains (L2),29.314763643037764,Slow Growth
Sanko,Blockchains (L3),,
Opus,Stablecoin issuers,40.9375,Slow Growth
Stacks,Blockchains (L2),90.38461538461539,Exceptional Growth
Dinero,Liquid staking,8.705882352941178,Stagnant/Declining
Folks Finance,Lending,,
Wormhole,Infrastructure,,
Sanctum,Liquid staking,39.411764705882355,Slow Growth
Squid,Infrastructure,,
Merkly,Bridges,,
Mellow Protocol,Infrastructure,,
MyShell,Infrastructure,,
Karak,Blockchains (L2),,
Lista DAO,Stablecoin issuers,,
Ready Games Network,Gaming,,
Term Structure,Blockchains (L2),,
Harmony,Blockchains (L1),,
Enzyme Finance,Asset management,78.63196480938419,Strong Growth
MetaDAO,Infrastructure,24.893617021276597,Stagnant/Declining
Koi Finance,Exchanges (DEX),22.71264367816092,Stagnant/Declining
Mimic,Infrastructure,,
Nostra,Lending,38.57212475633528,Slow Growth
Inverse Finance,Stablecoin issuers,,
Satori Finance,Derivative exchanges,,
re.al,Blockchains (L2),11.538461538461538,Stagnant/Declining
Zircuit,Blockchains (L2),78.14077227120704,Strong Growth
Subsocial,Blockchains (L2),14.867902132710494,Stagnant/Declining
Reservoir.xyz,Stablecoin issuers,,
B.Protocol,Infrastructure,,
SPOT Protocol (ex Ampleforth),Stablecoin issuers,31.428571428571423,Slow Growth
Aspect,NFT marketplaces,,
Illuvium,Gaming,88.45315904139433,Exceptional Growth
ERAGON,Gaming,,
Tapos,Gaming,,
Veax,Exchanges (DEX),,
Phala,Blockchains (L2),65.98589998851321,Strong Growth
Celo Dollar,Stablecoin issuers,,
Homora,Lending,73.68421052631578,Strong Growth
BOB,Blockchains (L2),65.438443670151,Strong Growth
Slingshot,Exchanges (DEX),,
Ajuna Network,Blockchains (L2),25.384615384615387,Slow Growth
Mars Protocol,Blockchains (L1),3.0303030303030303,Stagnant/Declining
usdx.money,Stablecoin issuers,,
Polimec,Blockchains (L2),31.74589347934295,Slow Growth
Black Panther,Asset management,25.151515151515156,Slow Growth
Blackbird,Social,,
X Layer,Blockchains (L2),,
Ring Protocol,Exchanges (DEX),9.775305895439377,Stagnant/Declining
EYWA,Bridges,,
Meteor Wallet,Infrastructure,,
Wapal,NFT marketplaces,,
Meso Finance,Lending,,
Monerium,Stablecoin issuers,,
Lynex,Exchanges (DEX),51.12068965517242,Steady Growth
Alchemix Finance,Asset management,77.2238514173998,Strong Growth
The Standard,Lending,36.315789473684205,Slow Growth
Metaplex,NFT marketplaces,77.77777777777779,Strong Growth
Sologenic,Exchanges (DEX),66.63793103448276,Strong Growth
Coinshift,Stablecoin issuers,,
Rootstock,Blockchains (L2),,
Zeta Markets,Derivative exchanges,66.4795918367347,Strong Growth
Hydro Protocol,Liquid staking,27.647058823529413,Slow Growth
Blast Bridge,Bridges,55.90445269016698,Steady Growth
Allstake,Liquid staking,,
MANTRA,Blockchains (L1),49.280303030303024,Steady Growth
Anzen,Stablecoin issuers,,
MYX.Finance,Derivative exchanges,,
Rhea Finance,Exchanges (DEX),,
Baseline,Infrastructure,,
Pac Finance,Lending,,
Planet IX,Gaming,61.66666666666666,Steady Growth
UXUY,Exchanges (DEX),,
Aave GHO,Stablecoin issuers,,
KAI-CHING,Gaming,,
Predict Fun,Prediction markets,,
TrueUSD,Stablecoin issuers,84.52380952380952,Exceptional Growth
Kamino,Lending,78.94736842105263,Strong Growth
Fraxtal,Blockchains (L2),,
Impermax Finance,Asset management,17.6969696969697,Stagnant/Declining
UXLINK,Social,99.99999999999999,Exceptional Growth
AptoSwap,Exchanges (DEX),,
Fluxbeam,Exchanges (DEX),,
Micro3,Social,,
Degen,Blockchains (L3),0.0,Stagnant/Declining
Celestia,Blockchains (L1),53.86363636363636,Steady Growth
Frequency,Blockchains (L2),32.36546651180798,Slow Growth
Acala Network,Blockchains (L2),51.09837462189378,Steady Growth
Nile Exchange,Exchanges (DEX),31.839080459770116,Slow Growth
Switchboard,Infrastructure,,
Idle Finance,Asset management,14.154936461388075,Stagnant/Declining
Aptin Finance,Lending,,
karpatkey,Infrastructure,,
Alaya AI,Infrastructure,,
Arkham,Infrastructure,80.31882459782044,Exceptional Growth
Botto,NFT marketplaces,42.5,Slow Growth
Out,Social,,
MELD,Blockchains (L1),0.0,Stagnant/Declining
Juice Finance,Asset management,51.5366568914956,Steady Growth
Hercules,Exchanges (DEX),23.79310344827586,Stagnant/Declining
Garden Finance,Bridges,0.0,Stagnant/Declining
Akash Network,Infrastructure,65.37234042553192,Strong Growth
Universal,Infrastructure,,
Spectra,Asset management,34.39882697947213,Slow Growth
Barnbridge,Asset management,73.66568914956012,Strong Growth
Meridian,Stablecoin issuers,23.928571428571427,Stagnant/Declining
marginfi,Lending,,
