Project,Market Sector,Safety Score,Safety Grade,Earnings Quality Score,User Growth Score,Growth Category,Fair Value Score,Valuation Category,Market Cap to Revenue Ratio
Alien Base,Exchanges (DEX),,,0.0,53.53281423804228,Steady Growth,55.0,Fairly Valued,
AlienX,Blockchains (L2),,,0.0,,,,,
Alkimi Exchange,Infrastructure,,,0.0,37.23566424494032,Slow Growth,45.0,Fairly Valued,
Alkimiya,Infrastructure,,,0.0,,,,,
Allbridge Core,Bridges,,,46.13065102827046,65.22727272727272,Strong Growth,,,
Allstake,Liquid staking,,,0.0,,,,,
Alluvial,,83.74,A,,,,,,
Alongside,Asset management,,,0.0,,,50.0,Fairly Valued,
Ambient,Exchanges (DEX),,,0.0,,,,,
Amnis Finance,Liquid staking,67.57,BB,0.0,,,,,
Ancient8,Blockchains (L2),,,0.0,61.54861442904921,Steady Growth,52.0,Fairly Valued,
Ankr,Liquid staking,91.0,AA,0.0,60.09191176470589,Steady Growth,55.99999999999999,Fairly Valued,
Anzen,Stablecoin issuers,,,0.0,,,,,
ApeCoin,,89.29,AA,,,,,,
ApePro,Exchanges (DEX),,,0.0,,,,,
ApeSwap,Exchanges (DEX),,,27.394800990132406,38.49936903798834,Slow Growth,90.9375,Undervalued,139.5x
ApeX Protocol,Derivative exchanges,,,0.0,77.65862708719851,Strong Growth,50.0,Fairly Valued,
Apeiron,Gaming,,,0.0,53.39869281045752,Steady Growth,45.0,Fairly Valued,
Aperture,Exchanges (DEX),,,0.0,30.454545454545457,Slow Growth,,,
ApolloX,Derivative exchanges,,,37.940421981877215,77.00079169598875,Strong Growth,60.36458333333333,Fairly Valued,0.0x
Aptin Finance,Lending,,,0.0,,,,,
AptoSwap,Exchanges (DEX),,,0.0,,,,,
Aptos,Blockchains (L1),94.28,AAA,43.49478334281707,74.57650162337663,Strong Growth,55.43990384615385,Fairly Valued,0.0x
Aragon,Infrastructure,,,0.0,11.789050337311885,Stagnant/Declining,46.78571428571429,Fairly Valued,0.0x
Arbitrum,Blockchains (L2),94.3,AAA,64.9549137112815,96.30346290771791,Exceptional Growth,70.41071428571428,Undervalued,0.0x
Arbitrum Bridge,Bridges,,,0.0,97.40259740259742,Exceptional Growth,,,
Arbitrum Nova,Blockchains (L2),,,0.0,,,,,
Arbitrum One,Blockchains (L2),,,64.9549137112815,96.30346290771791,Exceptional Growth,70.41071428571428,Undervalued,0.0x
Archblock,Stablecoin issuers,,,0.0,,,,,
Argent,Infrastructure,,,0.0,,,,,
Aries Markets,Lending,,,0.0,,,,,
Arkham,Infrastructure,85.6,A,0.0,80.31882459782044,Exceptional Growth,45.99999999999999,Fairly Valued,
Arrakis Finance,Asset management,,,0.0,,,,,
Arrow Markets,Derivative exchanges,,,0.0,29.333951762523192,Slow Growth,50.0,Fairly Valued,
Arweave,Blockchains (L1),74.13,BBB,0.0,50.45454545454545,Steady Growth,60.0,Fairly Valued,
Aspect,NFT marketplaces,,,0.0,,,,,
Astar,Blockchains (L2),86.81,AA,0.0,48.94308943089431,Steady Growth,,,
Astar zkEVM,Blockchains (L2),,,0.0,,,,,
Astherus,,68.94,BB,,,,,,
Astroport,Exchanges (DEX),,,0.0,30.689655172413797,Slow Growth,,,
Aura Finance,Asset management,,,46.983308486486656,65.0293255131965,Strong Growth,74.49404761904762,Undervalued,0.0x
Aurora,Blockchains (L2),,,0.0,47.61825131390349,Steady Growth,50.0,Fairly Valued,
Avalanche,Blockchains (L1),94.12,AAA,39.96282983690581,63.59943977591037,Steady Growth,61.80288461538461,Fairly Valued,0.0x
Avalon Finance,Lending,,,0.0,72.38304093567251,Strong Growth,45.0,Fairly Valued,
Avantis,Exchanges (DEX),,,0.0,,,,,
Aventus,Blockchains (L2),,,0.0,31.452460582895373,Slow Growth,45.0,Fairly Valued,
Axelar Network,Interoperability,92.36,AA,0.0,100.0,Exceptional Growth,,,
Axie Infinity,Gaming,85.55,A,0.0,94.11764705882352,Exceptional Growth,80.00000000000001,Undervalued,0.0x
Axiom,Infrastructure,,,0.0,,,,,
Azuro,Prediction markets,,,0.0,65.46875,Strong Growth,55.0,Fairly Valued,
B.Protocol,Infrastructure,,,0.0,,,,,
B3,Blockchains (L3),,,0.0,70.0,Strong Growth,55.0,Fairly Valued,
BENQI Liquid Staked AVAX,Lending,79.85,A,40.20428212006127,70.427022417154,Strong Growth,60.67187500000001,Fairly Valued,0.0x
BENQI Liquid Staked AVAX,,79.85,A,,,,,,
BENQI Liquid Staking,Liquid staking,,,0.0,57.5,Steady Growth,,,
BMX,Derivative exchanges,,,44.40244942680416,65.88605975305484,Strong Growth,83.2936507936508,Undervalued,0.0x
BNB Chain,Blockchains (L1),94.69,AAA,48.5009231754041,94.40882034632034,Exceptional Growth,67.66666666666667,Fairly Valued,0.0x
BNB48 Club Token,,66.67,BB,,,,,,
BOB,Blockchains (L2),,,0.0,65.438443670151,Strong Growth,,,
BSX Exchange,Derivative exchanges,,,0.0,,,,,
Baby Doge,,81.19,A,,,,,,
Baby Shark Universe,Gaming,,,0.0,,,,,
BadgerDAO,Asset management,,,0.0,90.1466275659824,Exceptional Growth,57.5,Fairly Valued,
Bahamut,,86.73,AA,,,,,,
Baki Exchange,Exchanges (DEX),,,0.0,,,,,
Balancer,Exchanges (DEX),,,49.78915794019274,72.5522044696127,Strong Growth,61.92897727272727,Fairly Valued,0.0x
Banana Gun,Infrastructure,,,0.0,69.36267514270888,Strong Growth,50.0,Fairly Valued,
Bancor,Exchanges (DEX),,,33.46962471598141,44.69622181211448,Slow Growth,45.49431818181819,Fairly Valued,0.0x
Band Protocol,,90.28,AA,,,,,,
Barnbridge,Asset management,,,0.0,73.66568914956012,Strong Growth,57.5,Fairly Valued,
Baryon,Exchanges (DEX),,,0.0,,,,,
BasePaint,NFT marketplaces,,,0.0,,,,,
BaseSwap,Exchanges (DEX),,,0.0,40.728958101594365,Slow Growth,55.0,Fairly Valued,
Baseline,Infrastructure,,,0.0,,,,,
Basic Attention Token,,91.37,AA,,,,,,
Beacon ETH,,84.26,A,,,,,,
Beam,Blockchains (L1),84.48,A,0.0,58.181818181818194,Steady Growth,50.0,Fairly Valued,
Bedrock,Liquid staking,,,0.0,,,,,
Beefy,Asset management,,,0.0,59.68914956011732,Steady Growth,45.0,Fairly Valued,
Beets,Exchanges (DEX),,,24.74094562402632,41.18094178717094,Slow Growth,40.73106060606061,Fairly Valued,0.0x
Beldex,,70.37,BB,,,,,,
BendDAO,Lending,,,0.0,37.61208576998051,Slow Growth,89.5,Undervalued,0.0x
Berachain,Blockchains (L1),87.93,AA,0.0,53.580627705627705,Steady Growth,45.0,Fairly Valued,
BetSwirl,Prediction markets,,,0.0,31.718750000000004,Slow Growth,77.77777777777779,Undervalued,0.0x
Biconomy,Infrastructure,,,0.0,57.13090295796575,Steady Growth,50.0,Fairly Valued,
Bifrost,Blockchains (L2),,,0.0,53.28021499406516,Steady Growth,,,
Big Time,,83.2,A,,,,,,
Binance Staked SOL,,70.71,BB,,,,,,
Biswap,Exchanges (DEX),,,28.737180739732462,66.92248015471738,Strong Growth,45.83806818181819,Fairly Valued,0.0x
BitDAO,Asset management,,,0.0,51.94721407624634,Steady Growth,55.0,Fairly Valued,
BitTorrent,,83.5,A,,,,,,
Bitcoin,Blockchains (L1),96.87,AAA,0.0,73.61458333333334,Strong Growth,53.148387096774194,Fairly Valued,0.0x
Bitcoin Avalanche Bridged,,65.53,BB,,,,,,
Bitcoin BEP2,,78.44,BBB,,,,,,
Bitcoin Cash,,75.38,BBB,,,,,,
Bitcoin SV,,71.66,BBB,,,,,,
Bitcoin Virtual Machine,,79.34,A,,,,,,
Bitget Token,,86.26,A,,,,,,
Bitkub,,68.27,BB,,,,,,
Bittensor,Blockchains (L1),74.18,BBB,0.0,55.0,Steady Growth,,,
Bitwise (ETHW),Asset management,,,0.0,,,,,
Black Panther,Asset management,,,0.0,25.15151515151516,Slow Growth,,,
BlackRock (BUIDL),Asset management,,,0.0,,,,,
Blackbird,Social,,,0.0,,,,,
BladeSwap,Exchanges (DEX),,,0.0,28.87300704486467,Slow Growth,50.0,Fairly Valued,
Blast,Blockchains (L2),,,30.36496380874365,77.59650708517357,Strong Growth,65.02747252747253,Fairly Valued,0.0x
Blast Bridge,Bridges,,,0.0,55.90445269016698,Steady Growth,,,
BlazeStake,,72.76,BBB,,,,,,
Blitz,Blockchains (L1),,,0.0,,,,,
Bluefin,Derivative exchanges,,,0.0,73.46938775510205,Strong Growth,,,
Blur,NFT marketplaces,88.08,AA,0.0,88.75000000000001,Exceptional Growth,88.75000000000001,Undervalued,0.0x
Boba Network,Blockchains (L2),,,0.0,57.88461538461539,Steady Growth,,,
Bonk,,85.68,A,,,,,,
BoomLand,Gaming,,,0.0,,,,,
Botto,NFT marketplaces,,,0.0,42.5,Slow Growth,50.0,Fairly Valued,
Bounce Finance,Infrastructure,,,0.0,53.94864951689031,Steady Growth,48.61111111111112,Fairly Valued,0.0x
BounceBit,Blockchains (L1),,,0.0,35.75757575757576,Slow Growth,,,
Brave,Infrastructure,,,0.0,74.00655163466527,Strong Growth,55.0,Fairly Valued,
Brett,,79.19,A,,,,,,
Bucket Protocol,Lending,,,0.0,,,,,
Buffer Finance,Derivative exchanges,,,0.0,35.486053355511494,Slow Growth,40.22222222222222,Fairly Valued,0.0x
Bungee,Bridges,,,0.0,,,,,
Burrow,Lending,,,0.0,,,,,
CORE Staking,,69.71,BB,,,,,,
COTI,Blockchains (L2),90.22,AA,0.0,86.53846153846155,Exceptional Growth,,,
Camelot,Exchanges (DEX),,,37.0107715941185,67.31728435635556,Strong Growth,65.87337662337663,Fairly Valued,0.0x
Cap,Derivative exchanges,,,,33.142303355511494,Slow Growth,67.5,Fairly Valued,0.0x
Cardano,Blockchains (L1),89.2,AA,0.0,90.9090909090909,Exceptional Growth,44.48356079404466,Fairly Valued,0.0x
Carv,Infrastructure,,,0.0,59.01238972496108,Steady Growth,55.0,Fairly Valued,
Casper,,81.17,A,,,,,,
Cat Town,Gaming,,,0.0,45.010893246187365,Steady Growth,52.0,Fairly Valued,
Catalyst,Bridges,,,0.0,,,,,
Celer Network,Infrastructure,,,0.0,56.10923715620135,Steady Growth,50.0,Fairly Valued,
Celestia,Blockchains (L1),79.94,A,0.0,53.86363636363636,Steady Growth,,,
Cellana Finance,Exchanges (DEX),,,0.0,34.13793103448276,Slow Growth,,,
Celo,Blockchains (L1),78.76,BBB,35.305556571473666,56.73683261183261,Steady Growth,72.05833333333334,Undervalued,0.0x
Celo Dollar,Stablecoin issuers,,,0.0,,,,,
Centrifuge,Blockchains (L2),,,0.0,28.965898232202576,Slow Growth,50.0,Fairly Valued,
Cetus,Exchanges (DEX),,,0.0,80.45977011494253,Exceptional Growth,,,
Chainlink,Infrastructure,92.06,AA,26.85214894352868,85.72299651567945,Exceptional Growth,30.937500000000004,Overvalued,0.0x
Cheelee,,89.6,AA,,,,,,
Cheems (cheems.pet),,74.5,BBB,,,,,,
Chia,,74.04,BBB,,,,,,
Chiliz,Blockchains (L1),89.11,AA,0.0,51.59090909090909,Steady Growth,,,
Chingari,Social,,,0.0,50.83333333333333,Steady Growth,,,
Chintai,,83.15,A,,,,,,
Circle,Stablecoin issuers,87.25,AA,76.87753988671372,,,,,
Clave,Infrastructure,,,0.0,,,,,
Clipper,Exchanges (DEX),,,40.82579379600983,41.87784406916776,Slow Growth,54.02698863636364,Fairly Valued,0.0x
Clique,Infrastructure,,,0.0,,,,,
CoW DAO,Exchanges (DEX),85.35,A,0.0,69.21655901338188,Strong Growth,32.22222222222222,Overvalued,0.0x
CoW DAO,,85.35,A,,,,,,
Coin98,Exchanges (CEX),,,0.0,,,,,
Coinally,Infrastructure,,,0.0,,,,,
Coinbase Wrapped Staked ETH,Blockchains (L2),83.04,A,64.80864859965831,100.0,Exceptional Growth,,,
Coinbase Wrapped Staked ETH,Liquid staking,83.04,A,0.0,,,,,
Coinbase Wrapped Staked Ether,Liquid staking,,,0.0,,,,,
Coinshift,Stablecoin issuers,,,0.0,,,,,
Colony,Infrastructure,,,0.0,27.851907109496626,Slow Growth,50.0,Fairly Valued,
Compound,Lending,91.56,AA,32.43084976560476,79.99756335282652,Strong Growth,42.69531250000001,Fairly Valued,0.0x
Conflux Core Space,Blockchains (L1),,,0.0,36.4983164983165,Slow Growth,5.681818181818182,Overvalued,0.0x
Conflux Network,Blockchains (L1),82.88,A,0.0,36.4983164983165,Slow Growth,5.681818181818182,Overvalued,0.0x
Constellation,,80.81,A,,,,,,
Convex Finance,Asset management,85.76,A,52.4706371470804,94.95356793743892,Exceptional Growth,62.767857142857146,Fairly Valued,0.0x
Core DAO,,89.14,AA,,,,,,
Coreum,Blockchains (L1),,,0.0,15.151515151515154,Stagnant/Declining,,,
Cosmos,Blockchains (L1),94.25,AAA,26.157892238239448,55.0,Steady Growth,36.34943181818181,Overvalued,0.0x
Cosmos Hub,Blockchains (L1),,,26.157892238239448,55.0,Steady Growth,36.34943181818181,Overvalued,0.0x
Creditcoin,,89.74,AA,,,,,,
Cronos,Blockchains (L1),92.41,AA,0.0,58.11447811447811,Steady Growth,75.9805718475073,Undervalued,0.0x
Crust Network,Blockchains (L2),,,0.0,47.42116579073102,Steady Growth,50.0,Fairly Valued,
Cryptex,Asset management,,,11.430996091177656,59.46396933040078,Steady Growth,25.17857142857143,Overvalued,0.0x
Curve DAO Token,,89.29,AA,,,,,,
Curve DAO Token,Exchanges (DEX),89.29,AA,56.84522301549867,80.46152922439074,Exceptional Growth,50.34801136363637,Fairly Valued,0.0x
Curve Stablecoin,,82.46,A,,,,,,
Cygnus Finance,Infrastructure,,,0.0,,,,,
DFX Finance,Exchanges (DEX),,,0.0,13.774985674318266,Stagnant/Declining,19.375,Overvalued,0.0x
DIN (ex Web3Go),Infrastructure,,,0.0,,,,,
DODO,Exchanges (DEX),,,47.69027388994144,70.11326768800352,Strong Growth,48.14630681818182,Fairly Valued,0.0x
DOG,Blockchains (L1),57.47,B,0.0,93.93939393939394,Exceptional Growth,31.92082111436949,Overvalued,0.0x
DOG•GO•TO•THE•MOON,,49.86,CC,,,,,,
DYORSWAP,Exchanges (DEX),,,0.0,,,,,
Dai,,87.34,AA,,,,,,
Dai,Infrastructure,87.34,AA,0.0,45.902309289050336,Steady Growth,50.0,Fairly Valued,
Darwinia Network,Blockchains (L2),,,0.0,38.50515437637654,Slow Growth,50.0,Fairly Valued,
Dash,,74.48,BBB,,,,,,
DeDust,Exchanges (DEX),,,0.0,,,,,
DeFi Saver,Infrastructure,,,1.9493315945355971,,,,,
DeGate,Exchanges (DEX),,,0.0,32.55320726733408,Slow Growth,45.0,Fairly Valued,
DeSo,Blockchains (L1),,,0.0,25.151515151515152,Slow Growth,60.0,Fairly Valued,
DeXe Protocol,,85.74,A,,,,,,
Decentral Games,Gaming,,,0.0,32.4400871459695,Slow Growth,52.5,Fairly Valued,
Decentraland,,85.87,A,,,,,,
Decred,,69.02,BB,,,,,,
DeepBook,,70.31,BB,,,,,,
Definitive,Derivative exchanges,,,0.0,,,,,
Degen,Blockchains (L3),,,0.0,0.0,Stagnant/Declining,45.0,Fairly Valued,
Deri Protocol,Derivative exchanges,,,,45.48431402341501,Steady Growth,23.769841269841272,Overvalued,0.0x
Derivio,Derivative exchanges,,,0.0,,,,,
Destra Network,,76.17,BBB,,,,,,
Dexalot,Exchanges (DEX),,,0.0,53.07007786429366,Steady Growth,52.0,Fairly Valued,
DigiByte,,75.13,BBB,,,,,,
Dinero,Liquid staking,,,0.0,8.705882352941178,Stagnant/Declining,45.0,Fairly Valued,
Dmail Network,Infrastructure,,,0.0,51.214971458225214,Steady Growth,52.0,Fairly Valued,
Dogecoin,Blockchains (L1),87.83,AA,0.0,93.93939393939394,Exceptional Growth,31.92082111436949,Overvalued,0.0x
Dohrnii,,80.13,A,,,,,,
DojoSwap,Exchanges (DEX),,,0.0,20.344827586206897,Stagnant/Declining,,,
Dolomite,Lending,,,0.0,,,,,
Dopex,Derivative exchanges,,,0.0,41.5893696820421,Slow Growth,51.85526315789474,Fairly Valued,
Drift Protocol,Derivative exchanges,86.6,AA,0.0,95.91836734693877,Exceptional Growth,,,
Dymension,Blockchains (L1),,,0.0,65.22727272727272,Strong Growth,,,
Dypius,Infrastructure,,,0.0,35.932472755578615,Slow Growth,45.0,Fairly Valued,
EOS Network,,92.09,AA,,,,,,
ERA Name Service,Infrastructure,,,0.0,16.722560975609756,Stagnant/Declining,52.0,Fairly Valued,
ERAGON,Gaming,,,0.0,,,,,
EYWA,Bridges,,,0.0,,,,,
Echelon Market,Lending,,,0.0,,,,,
Echelon Prime,Infrastructure,71.91,BBB,0.0,61.07161390762844,Steady Growth,52.0,Fairly Valued,
Echelon Prime Foundation,Infrastructure,,,0.0,61.07161390762844,Steady Growth,52.0,Fairly Valued,
Echo Protocol,Asset management,,,0.0,,,,,
Eclipse,Blockchains (L2),,,0.0,,,,,
Econia,Exchanges (DEX),,,0.0,,,,,
Efi Hub,Gaming,,,0.0,,,,,
Eggs Finance,Asset management,,,0.0,75.6852394916911,Strong Growth,50.0,Fairly Valued,
EigenLayer,Liquid staking,90.03,AA,0.0,87.64705882352942,Exceptional Growth,55.0,Fairly Valued,
Eigenpie,Liquid staking,,,0.0,,,,,
Ekubo Protocol,Exchanges (DEX),,,0.0,63.189655172413794,Steady Growth,,,
Element,NFT marketplaces,,,0.0,,,,,
Ellipsis Finance,Exchanges (DEX),,,0.0,,,,,
Emojicoin.fun,Exchanges (DEX),,,0.0,,,,,
Energy Web X,Blockchains (L2),,,0.0,48.943599954052914,Steady Growth,,,
Enjin,,91.16,AA,,,,,,
Entangle,Stablecoin issuers,73.67,BBB,28.18419007292008,49.52380952380952,Steady Growth,41.80803571428572,Fairly Valued,0.0x
Entangle,,73.67,BBB,,,,,,
Enzyme Finance,Asset management,,,0.0,78.63196480938419,Strong Growth,52.0,Fairly Valued,
Equalizer Exchange,Exchanges (DEX),,,11.935898594579324,24.451758266761047,Stagnant/Declining,92.46969696969695,Undervalued,0.0x
Ethena,Stablecoin issuers,90.55,AA,58.22851700086348,85.625,Exceptional Growth,65.07440476190477,Fairly Valued,0.0x
Ethena,Exchanges (DEX),90.55,AA,57.15610750876476,80.8611946775879,Exceptional Growth,76.46969696969697,Undervalued,0.0x
Ether.Fi,Liquid staking,80.58,A,0.0,68.38848039215686,Strong Growth,55.0,Fairly Valued,
Ethereum,Blockchains (L1),96.23,AAA,26.402623193032213,80.74585137085137,Exceptional Growth,62.93269230769231,Fairly Valued,0.0x
Ethereum Attestation Service,Infrastructure,,,0.0,,,,,
Ethereum Classic,,77.53,BBB,,,,,,
Ethereum Name Service,Infrastructure,85.38,A,0.0,84.67393184570145,Exceptional Growth,45.99999999999999,Fairly Valued,
EthereumPoW,,71.78,BBB,,,,,,
Ethervista,Exchanges (DEX),,,0.0,58.962736373748605,Steady Growth,50.0,Fairly Valued,
Euler,Lending,84.43,A,0.0,61.46686159844056,Steady Growth,60.53571428571429,Fairly Valued,0.0x
Euro Coin,,80.74,A,,,,,,
Europe Fantasy League,Gaming,,,0.0,16.127450980392155,Stagnant/Declining,50.0,Fairly Valued,
Everclear,Bridges,,,0.0,40.05681818181817,Slow Growth,24.107142857142858,Overvalued,0.0x
Everyworld,Infrastructure,,,0.0,10.793980280228332,Stagnant/Declining,45.0,Fairly Valued,
Evmos,Blockchains (L1),,,0.0,26.666666666666664,Slow Growth,,,
Exactly Protocol,Lending,,,0.0,36.582602339181285,Slow Growth,50.0,Fairly Valued,
Extra Finance,Lending,,,0.0,48.03728070175438,Steady Growth,50.0,Fairly Valued,
FD121 Limited,Stablecoin issuers,,,0.0,,,,,
FDUSD,,88.08,AA,,,,,,
FTX,NFT marketplaces,44.3,C,0.0,34.583333333333336,Slow Growth,56.25000000000001,Fairly Valued,0.0x
Fableborne,Gaming,,,0.0,,,,,
Falcon Finance,,64.72,BB,,,,,,
Fantasy,Gaming,,,0.0,,,,,
Fartcoin,,66.08,BB,,,,,,
Fei Protocol,,48.63,CC,,,,,,
Fellaz,,74.92,BBB,,,,,,
Fenix,Exchanges (DEX),,,0.0,23.083426028921025,Stagnant/Declining,45.0,Fairly Valued,
Fetch.ai,,92.88,AA,,,,,,
Fibrous,Exchanges (DEX),,,0.0,,,,,
Filecoin,Blockchains (L1),86.39,A,22.236848055760632,64.0909090909091,Steady Growth,29.43181818181818,Overvalued,0.0x
Flare,,74.54,BBB,,,,,,
Flashbots,Infrastructure,,,0.0,50.83333333333333,Steady Growth,,,
Flexa,,62.27,B,,,,,,
Floki,,91.93,AA,,,,,,
FlokiFi,,88.72,AA,,,,,,
Flow,Blockchains (L1),84.91,A,0.0,43.63636363636364,Slow Growth,,,
FlowX Finance,Exchanges (DEX),,,0.0,26.091954022988507,Slow Growth,,,
Fluid,Lending,,,43.228796453893736,74.63084795321639,Strong Growth,62.78125000000001,Fairly Valued,0.0x
Fluxbeam,Exchanges (DEX),,,0.0,,,,,
Folks Finance,Lending,,,0.0,,,,,
Forgotten Runiverse,Gaming,,,0.0,,,,,
Foundation,NFT marketplaces,,,22.291658391851808,55.0,Steady Growth,,,
Four,,70.31,BB,,,,,,
Fragmetric,Liquid staking,,,0.0,,,,,
Franklin Templeton (FOBXX),Asset management,,,0.0,,,,,
Frax,Blockchains (L2),85.71,A,0.0,,,,,
Frax Finance - Frax Ether,Liquid staking,62.68,B,43.881970856862736,36.66666666666667,Slow Growth,,,
Frax Finance - Frax Ether,,62.68,B,,,,,,
Frax Share,,83.1,A,,,,,,
Frax Stablecoin,Stablecoin issuers,,,0.0,,,,,
Frax Staked Ether,,67.69,BB,,,,,,
Fraxlend,Lending,,,0.0,41.18421052631579,Slow Growth,,,
Fraxtal,Blockchains (L2),,,0.0,,,,,
Fren Pet,Gaming,,,0.0,50.1797385620915,Steady Growth,52.0,Fairly Valued,
Frequency,Blockchains (L2),,,0.0,32.36546651180798,Slow Growth,,,
Freysa,,65.36,BB,,,,,,
Fuel Ignition,Blockchains (L2),,,0.0,49.59627329192547,Steady Growth,50.0,Fairly Valued,
Fuul Protocol,Infrastructure,,,0.0,,,,,
GMX,Derivative exchanges,91.92,AA,50.319127872574335,95.64567206192824,Exceptional Growth,75.34722222222221,Undervalued,0.0x
Gains Network,Derivative exchanges,,,0.0,70.17810760667903,Strong Growth,52.0,Fairly Valued,
Gala Games,,89.15,AA,,,,,,
Galxe,Infrastructure,,,0.0,,,,,
Gamic,Infrastructure,,,0.0,,,,,
Gamma Strategies,Asset management,,,22.3638589499679,60.570931085044,Steady Growth,87.50000000000001,Undervalued,0.0x
Garden Finance,Bridges,,,0.0,0.0,Stagnant/Declining,45.0,Fairly Valued,
Gas,,61.62,B,,,,,,
GateToken,,88.55,AA,,,,,,
Gearbox,Lending,,,24.165608219299408,39.782529239766085,Slow Growth,40.90625000000001,Fairly Valued,0.0x
Gemini,Stablecoin issuers,,,0.0,,,,,
Getgems,NFT marketplaces,,,0.0,,,,,
Gigachad,,70.48,BB,,,,,,
Gitcoin,Infrastructure,,,0.0,60.18649455111572,Steady Growth,52.5,Fairly Valued,
Glo Dollar,Stablecoin issuers,,,0.0,,,,,
Global Dollar Network,Stablecoin issuers,,,0.0,,,,,
Gnosis,Blockchains (L1),84.77,A,0.0,40.53518377047789,Slow Growth,28.954326923076923,Overvalued,0.0x
GoMining,,91.49,AA,,,,,,
Goat Protocol,Asset management,,,0.0,12.12121212121212,Stagnant/Declining,,,
GoldPro Token,,74.73,BBB,,,,,,
Goldfinch,Lending,,,31.438592058525277,39.736842105263165,Slow Growth,17.9375,Overvalued,0.0x
Golem,,86.35,A,,,,,,
GoodDollar,Infrastructure,,,0.0,6.382978723404254,Stagnant/Declining,45.0,Fairly Valued,
Gram,ERC20 Tokens,,,0.0,100.0,Exceptional Growth,,,
Grass,,76.37,BBB,,,,,,
Gravity,Blockchains (L2),85.13,A,33.303054003849226,81.36211567178466,Exceptional Growth,71.04395604395604,Undervalued,0.0x
Gravity Alpha Mainnet,Blockchains (L2),,,33.303054003849226,81.36211567178466,Exceptional Growth,71.04395604395604,Undervalued,0.0x
Guild of Guardians,Gaming,,,0.0,49.803921568627445,Steady Growth,50.0,Fairly Valued,
Gyroscope (Gyro Finance),Stablecoin issuers,,,0.0,,,,,
HMX,Derivative exchanges,,,40.96215837196279,45.89105783379183,Steady Growth,74.65277777777779,Undervalued,0.0x
HOT Protocol,Gaming,,,0.0,,,,,
Hamster Kombat,,75.53,BBB,,,,,,
Harmony,Blockchains (L1),78.97,BBB,0.0,,,,,
Hashflow,Exchanges (DEX),,,0.0,55.76828841810767,Steady Growth,35.0,Overvalued,0.0x
Hedera,Blockchains (L1),75.69,BBB,0.0,78.78787878787878,Strong Growth,,,
Hedgey Finance,Infrastructure,,,0.0,,,,,
Hegic,Derivative exchanges,,,54.79070870679547,56.719839581600674,Steady Growth,60.29166666666668,Fairly Valued,0.0x
Helium,Infrastructure,,,53.575124466986615,51.01063829787234,Steady Growth,64.64285714285715,Fairly Valued,0.0x
