Project,Market Sector,User Growth Score,Growth Category,Explanation
Ethereum,Blockchains (L1),80.74585137085137,Exceptional Growth,"Project 'Ethereum' in the 'Blockchains (L1)' sector has an overall User Growth Score of 80.75, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: 70.37 (Weight: 0.30)
  - Transaction Volume: 98.48 (Weight: 0.30)
  - Transaction Count: 60.36 (Weight: 0.25)
  - User Growth: 100.00 (Weight: 0.15)"
Sky,Stablecoin issuers,63.81696428571428,Steady Growth,"Project 'Sky' in the 'Stablecoin issuers' sector has an overall User Growth Score of 63.82, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 85.71 (Weight: 0.20)
  - Transaction Volume: 69.06 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 31.43 (Weight: 0.20)"
BNB Chain,Blockchains (L1),94.40882034632034,Exceptional Growth,"Project 'BNB Chain' in the 'Blockchains (L1)' sector has an overall User Growth Score of 94.41, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: 100.00 (Weight: 0.30)
  - Transaction Volume: 92.42 (Weight: 0.30)
  - Transaction Count: 90.48 (Weight: 0.25)
  - User Growth: 93.75 (Weight: 0.15)"
Ethena,Stablecoin issuers,85.625,Exceptional Growth,"Project 'Ethena' in the 'Stablecoin issuers' sector has an overall User Growth Score of 85.62, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: 49.64 (Weight: 0.20)
  - Transaction Volume: 100.00 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 92.86 (Weight: 0.20)"
Bitcoin,Blockchains (L1),73.61458333333334,Strong Growth,"Project 'Bitcoin' in the 'Blockchains (L1)' sector has an overall User Growth Score of 73.61, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: 77.78 (Weight: 0.30)
  - Transaction Volume: 100.00 (Weight: 0.30)
  - Transaction Count: 42.50 (Weight: 0.25)
  - User Growth: 64.38 (Weight: 0.15)"
Aerodrome,Exchanges (DEX),88.64047173627264,Exceptional Growth,"Project 'Aerodrome' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 88.64, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: 88.64 (Weight: 0.30)
  - Transaction Volume: 86.21 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 98.39 (Weight: 0.10)"
Morpho,Lending,81.08004385964914,Exceptional Growth,"Project 'Morpho' in the 'Lending' sector has an overall User Growth Score of 81.08, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: 84.21 (Weight: 0.40)
  - Transaction Volume: 84.21 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 59.17 (Weight: 0.10)"
Fluid,Lending,74.63084795321639,Strong Growth,"Project 'Fluid' in the 'Lending' sector has an overall User Growth Score of 74.63, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: 89.47 (Weight: 0.40)
  - Transaction Volume: 60.92 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 56.39 (Weight: 0.10)"
Venus,Lending,86.17202729044836,Exceptional Growth,"Project 'Venus' in the 'Lending' sector has an overall User Growth Score of 86.17, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: 94.74 (Weight: 0.40)
  - Transaction Volume: 76.32 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 81.48 (Weight: 0.10)"
Base,Blockchains (L2),100.00000000000001,Exceptional Growth,"Project 'Base' in the 'Blockchains (L2)' sector has an overall User Growth Score of 100.00, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: 100.00 (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.25)
  - Bridge Volume: nan (Weight: 0.20)
  - Transaction Count: 100.00 (Weight: 0.15)
  - User Growth: nan (Weight: 0.10)"
GMX,Derivative exchanges,95.64567206192824,Exceptional Growth,"Project 'GMX' in the 'Derivative exchanges' sector has an overall User Growth Score of 95.65, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: 96.55 (Weight: 0.30)
  - Transaction Volume: 93.88 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 100.00 (Weight: 0.10)"
Uniswap Labs,Exchanges (DEX),90.9090909090909,Exceptional Growth,"Project 'Uniswap Labs' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 90.91, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: 90.91 (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Convex Finance,Asset management,94.95356793743892,Exceptional Growth,"Project 'Convex Finance' in the 'Asset management' sector has an overall User Growth Score of 94.95, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: 100.00 (Weight: 0.30)
  - Transaction Volume: 93.94 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 83.87 (Weight: 0.10)"
Curve,Exchanges (DEX),80.46152922439074,Exceptional Growth,"Project 'Curve' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 80.46, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: 58.41 (Weight: 0.30)
  - Transaction Volume: 96.55 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 82.26 (Weight: 0.10)"
Compound,Lending,79.99756335282652,Strong Growth,"Project 'Compound' in the 'Lending' sector has an overall User Growth Score of 80.00, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: 64.87 (Weight: 0.40)
  - Transaction Volume: 94.74 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 96.30 (Weight: 0.10)"
Usual,Stablecoin issuers,84.4047619047619,Exceptional Growth,"Project 'Usual' in the 'Stablecoin issuers' sector has an overall User Growth Score of 84.40, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.20)
  - Transaction Volume: 93.75 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 65.71 (Weight: 0.20)"
Thena,Exchanges (DEX),80.8611946775879,Exceptional Growth,"Project 'Thena' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 80.86, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: 77.27 (Weight: 0.30)
  - Transaction Volume: 88.51 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 61.05 (Weight: 0.10)"
LFJ,Exchanges (DEX),76.7520519432366,Strong Growth,"Project 'LFJ' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 76.75, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: 79.55 (Weight: 0.30)
  - Transaction Volume: 71.26 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 90.32 (Weight: 0.10)"
Euler,Lending,61.46686159844056,Steady Growth,"Project 'Euler' in the 'Lending' sector has an overall User Growth Score of 61.47, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 68.82 (Weight: 0.40)
  - Transaction Volume: 58.95 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 39.63 (Weight: 0.10)"
Maple Finance,Lending,63.62573099415204,Steady Growth,"Project 'Maple Finance' in the 'Lending' sector has an overall User Growth Score of 63.63, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.40)
  - Transaction Volume: 68.82 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 48.06 (Weight: 0.10)"
Pharaoh,Exchanges (DEX),57.98437658003843,Steady Growth,"Project 'Pharaoh' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 57.98, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 61.82 (Weight: 0.30)
  - Transaction Volume: 58.88 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 42.90 (Weight: 0.10)"
SynFutures,Derivative exchanges,81.21869202226347,Exceptional Growth,"Project 'SynFutures' in the 'Derivative exchanges' sector has an overall User Growth Score of 81.22, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: 100.00 (Weight: 0.30)
  - Transaction Volume: 77.55 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 39.55 (Weight: 0.10)"
Arbitrum One,Blockchains (L2),96.30346290771793,Exceptional Growth,"Project 'Arbitrum One' in the 'Blockchains (L2)' sector has an overall User Growth Score of 96.30, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: 97.62 (Weight: 0.30)
  - Transaction Volume: 94.23 (Weight: 0.25)
  - Bridge Volume: nan (Weight: 0.20)
  - Transaction Count: 97.56 (Weight: 0.15)
  - User Growth: 95.65 (Weight: 0.10)"
Internet Computer,Blockchains (L1),74.21487603305783,Strong Growth,"Project 'Internet Computer' in the 'Blockchains (L1)' sector has an overall User Growth Score of 74.21, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 52.73 (Weight: 0.30)
  - Transaction Count: 100.00 (Weight: 0.25)
  - User Growth: nan (Weight: 0.15)"
QuickSwap,Exchanges (DEX),80.12711935820948,Exceptional Growth,"Project 'QuickSwap' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 80.13, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: 95.45 (Weight: 0.30)
  - Transaction Volume: 70.11 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 74.19 (Weight: 0.10)"
Solv Protocol,Derivative exchanges,86.00297485765468,Exceptional Growth,"Project 'Solv Protocol' in the 'Derivative exchanges' sector has an overall User Growth Score of 86.00, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: 79.31 (Weight: 0.30)
  - Transaction Volume: 89.80 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 90.91 (Weight: 0.10)"
OpenSea,NFT marketplaces,100.0,Exceptional Growth,"Project 'OpenSea' in the 'NFT marketplaces' sector has an overall User Growth Score of 100.00, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: 100.00 (Weight: 0.40)
  - Transaction Volume: nan (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
OP Mainnet,Blockchains (L2),89.78010324775966,Exceptional Growth,"Project 'OP Mainnet' in the 'Blockchains (L2)' sector has an overall User Growth Score of 89.78, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: 85.71 (Weight: 0.30)
  - Transaction Volume: 92.31 (Weight: 0.25)
  - Bridge Volume: nan (Weight: 0.20)
  - Transaction Count: 92.68 (Weight: 0.15)
  - User Growth: 91.30 (Weight: 0.10)"
ParaSwap,Exchanges (DEX),44.934539007988676,Slow Growth,"Project 'ParaSwap' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 44.93, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: 46.48 (Weight: 0.30)
  - Transaction Volume: 47.67 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 29.35 (Weight: 0.10)"
Velodrome,Exchanges (DEX),71.53864668655409,Strong Growth,"Project 'Velodrome' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 71.54, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: 66.93 (Weight: 0.30)
  - Transaction Volume: 77.01 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 63.47 (Weight: 0.10)"
BENQI Liquid Staking,Liquid staking,57.5,Steady Growth,"Project 'BENQI Liquid Staking' in the 'Liquid staking' sector has an overall User Growth Score of 57.50, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 57.50 (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)"
SushiSwap,Exchanges (DEX),88.87737216435771,Exceptional Growth,"Project 'SushiSwap' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 88.88, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: 86.36 (Weight: 0.30)
  - Transaction Volume: 90.80 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 88.71 (Weight: 0.10)"
Vertex,Derivative exchanges,76.62141737572772,Strong Growth,"Project 'Vertex' in the 'Derivative exchanges' sector has an overall User Growth Score of 76.62, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: 86.21 (Weight: 0.30)
  - Transaction Volume: 71.43 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 68.64 (Weight: 0.10)"
StakeWise,Liquid staking,27.604166666666664,Slow Growth,"Project 'StakeWise' in the 'Liquid staking' sector has an overall User Growth Score of 27.60, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: 52.50 (Weight: 0.30)
  - Transaction Volume: 0.00 (Weight: 0.20)
  - User Growth: 21.11 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)"
Moonwell,Lending,75.56390977443608,Strong Growth,"Project 'Moonwell' in the 'Lending' sector has an overall User Growth Score of 75.56, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: 78.95 (Weight: 0.40)
  - Transaction Volume: 71.05 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Tokenlon,Exchanges (DEX),41.16273974449726,Slow Growth,"Project 'Tokenlon' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 41.16, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: 39.55 (Weight: 0.30)
  - Transaction Volume: 35.29 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 69.52 (Weight: 0.10)"
Balancer,Exchanges (DEX),72.5522044696127,Strong Growth,"Project 'Balancer' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 72.55, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: 72.73 (Weight: 0.30)
  - Transaction Volume: 72.41 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 72.58 (Weight: 0.10)"
TON,Blockchains (L1),68.9659090909091,Strong Growth,"Project 'TON' in the 'Blockchains (L1)' sector has an overall User Growth Score of 68.97, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: 67.50 (Weight: 0.30)
  - Transaction Volume: 68.64 (Weight: 0.30)
  - Transaction Count: 67.50 (Weight: 0.25)
  - User Growth: 75.00 (Weight: 0.15)"
Immutable,Blockchains (L2),90.02038225560229,Exceptional Growth,"Project 'Immutable' in the 'Blockchains (L2)' sector has an overall User Growth Score of 90.02, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: 95.24 (Weight: 0.30)
  - Transaction Volume: 96.15 (Weight: 0.25)
  - Bridge Volume: nan (Weight: 0.20)
  - Transaction Count: 82.93 (Weight: 0.15)
  - User Growth: 69.67 (Weight: 0.10)"
ApolloX,Derivative exchanges,77.00079169598875,Strong Growth,"Project 'ApolloX' in the 'Derivative exchanges' sector has an overall User Growth Score of 77.00, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: 89.66 (Weight: 0.30)
  - Transaction Volume: 68.01 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 75.00 (Weight: 0.10)"
Aura Finance,Asset management,65.0293255131965,Strong Growth,"Project 'Aura Finance' in the 'Asset management' sector has an overall User Growth Score of 65.03, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: 87.50 (Weight: 0.30)
  - Transaction Volume: 51.59 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 51.37 (Weight: 0.10)"
DeFi Saver,Infrastructure,,,"Project 'DeFi Saver' in the 'Infrastructure' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.30)
  - User Growth: nan (Weight: 0.10)"
Frax Ether,Liquid staking,36.66666666666667,Slow Growth,"Project 'Frax Ether' in the 'Liquid staking' sector has an overall User Growth Score of 36.67, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: 36.67 (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)"
Camelot,Exchanges (DEX),67.31728435635556,Strong Growth,"Project 'Camelot' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 67.32, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: 70.45 (Weight: 0.30)
  - Transaction Volume: 64.05 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 70.97 (Weight: 0.10)"
Avalanche,Blockchains (L1),63.59943977591037,Steady Growth,"Project 'Avalanche' in the 'Blockchains (L1)' sector has an overall User Growth Score of 63.60, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 64.72 (Weight: 0.30)
  - Transaction Volume: 83.33 (Weight: 0.30)
  - Transaction Count: 38.57 (Weight: 0.25)
  - User Growth: nan (Weight: 0.15)"
Layer3,Infrastructure,75.34213062495367,Strong Growth,"Project 'Layer3' in the 'Infrastructure' sector has an overall User Growth Score of 75.34, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: 100.00 (Weight: 0.30)
  - Transaction Volume: 58.99 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.30)
  - User Growth: 50.43 (Weight: 0.10)"
Merkle Trade,Derivative exchanges,52.532421835729366,Steady Growth,"Project 'Merkle Trade' in the 'Derivative exchanges' sector has an overall User Growth Score of 52.53, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 79.31 (Weight: 0.30)
  - Transaction Volume: 32.45 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
KyberSwap,Exchanges (DEX),76.79375442410759,Strong Growth,"Project 'KyberSwap' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 76.79, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: 84.09 (Weight: 0.30)
  - Transaction Volume: 75.86 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 58.63 (Weight: 0.10)"
Polygon,Blockchains (L1),72.31752795815297,Strong Growth,"Project 'Polygon' in the 'Blockchains (L1)' sector has an overall User Growth Score of 72.32, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: 85.19 (Weight: 0.30)
  - Transaction Volume: 61.82 (Weight: 0.30)
  - Transaction Count: 71.43 (Weight: 0.25)
  - User Growth: 69.06 (Weight: 0.15)"
BENQI,Lending,70.427022417154,Strong Growth,"Project 'BENQI' in the 'Lending' sector has an overall User Growth Score of 70.43, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: 73.68 (Weight: 0.40)
  - Transaction Volume: 64.87 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 74.07 (Weight: 0.10)"
deBridge DLN,Bridges,28.571428571428573,Slow Growth,"Project 'deBridge DLN' in the 'Bridges' sector has an overall User Growth Score of 28.57, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: 100.00 (Weight: 0.20)
  - Bridge Volume: 0.00 (Weight: 0.50)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
StakeStone,Liquid staking,62.5,Steady Growth,"Project 'StakeStone' in the 'Liquid staking' sector has an overall User Growth Score of 62.50, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 62.50 (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)"
NEAR Protocol,Blockchains (L1),34.00568181818182,Slow Growth,"Project 'NEAR Protocol' in the 'Blockchains (L1)' sector has an overall User Growth Score of 34.01, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: 0.00 (Weight: 0.30)
  - Transaction Volume: 72.73 (Weight: 0.30)
  - Transaction Count: 0.00 (Weight: 0.25)
  - User Growth: 81.25 (Weight: 0.15)"
Houdini Swap,Exchanges (DEX),40.2825361512792,Slow Growth,"Project 'Houdini Swap' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 40.28, categorized as 'Slow Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 44.22 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 24.52 (Weight: 0.10)"
Katana,Exchanges (DEX),75.0,Strong Growth,"Project 'Katana' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 75.00, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: 75.00 (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.10)"
Origin Protocol,Stablecoin issuers,71.47321428571428,Strong Growth,"Project 'Origin Protocol' in the 'Stablecoin issuers' sector has an overall User Growth Score of 71.47, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: 71.43 (Weight: 0.20)
  - Transaction Volume: 64.38 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 85.71 (Weight: 0.20)"
DODO,Exchanges (DEX),70.11326768800352,Strong Growth,"Project 'DODO' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 70.11, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: 65.23 (Weight: 0.30)
  - Transaction Volume: 78.16 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 52.58 (Weight: 0.10)"
HMX,Derivative exchanges,45.89105783379183,Steady Growth,"Project 'HMX' in the 'Derivative exchanges' sector has an overall User Growth Score of 45.89, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 61.47 (Weight: 0.30)
  - Transaction Volume: 34.49 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 44.77 (Weight: 0.10)"
Cardano,Blockchains (L1),90.9090909090909,Exceptional Growth,"Project 'Cardano' in the 'Blockchains (L1)' sector has an overall User Growth Score of 90.91, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.30)
  - Transaction Volume: 90.91 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.25)
  - User Growth: nan (Weight: 0.15)"
BMX,Derivative exchanges,65.88605975305484,Strong Growth,"Project 'BMX' in the 'Derivative exchanges' sector has an overall User Growth Score of 65.89, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: 82.76 (Weight: 0.30)
  - Transaction Volume: 48.11 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 86.36 (Weight: 0.10)"
